entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,reference_model,reference_mean_r,be_mean_r,be_minus_unmanaged_mean_r,reference_win_rate,be_win_rate,reference_drawdown_r,be_drawdown_r,reference_zero_r_outcomes,be_zero_r_outcomes,eligible_identity_set_equal
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R_BE1R,NATURAL,0.02,stop_first,USD030_TARGET_2R,-0.085674015906574046108929829860062418201953085674015906574046108929829860062419384,-0.060002114164904862579281183932346723044397463002114164904862579281183932346723917,0.025671901741669183529648645927715695157555622671901741669183529648645927715695467,0.32950770160072485653881002718212020537601932950770160072485653881002718212020538,0.26276049531863485351857444880700694654183026276049531863485351857444880700694654,311.66666666666666666666666666666666666666666666666666666666666666666666666667049,226.21700000000000000000000000000000000000000000000000000000000000000000000000275,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_2R_BE1R,NATURAL,0.02,target_first,USD030_TARGET_2R,-0.050337259639585220980569817779120104701500050337259639585220980569817779120105325,-0.012886439142253095741467834491090305043793415886439142253095741467834491090305275,0.037450820497332125239101983288029799657706634450820497332125239101983288029800050,0.34128662035638779824826336454243430987617034128662035638779824826336454243430988,0.28088190878888553307157958320749018423437028088190878888553307157958320749018423,208.05000000000000000000000000000000000000000000000000000000000000000000000000135,131.43366666666666666666666666666666666666666666666666666666666666666666666666691,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_2R_BE1R,NATURAL,0,stop_first,USD040_TARGET_2R,-0.0031828752642706131078224101479915433403805496828752642706131078224101479915433404,0.021768196919359710057384475989127151917849592268196919359710057384475989127151918,0.024951072183630323165206886137118695258230141951072183630323165206886137118695258,0.33766233766233766233766233766233766233766233766233766233766233766233766233766234,0.26578073089700996677740863787375415282392026578073089700996677740863787375415282,196.1885000000,127.8755000000,0,744,True
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_2R_BE1R,NATURAL,0,target_first,USD040_TARGET_2R,0.0085960434913923286016309272123225611597704620960434913923286016309272123225611598,0.039285563273935366958622772576260948353971609785563273935366958622772576260948354,0.030689519782543038356991845363938387194201147689519782543038356991845363938387194,0.34158864391422530957414678344910903050437934158864391422530957414678344910903050,0.27272727272727272727272727272727272727272727272727272727272727272727272727272727,186.1885000000,120.3005000000,0,733,True
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_2R_BE1R,NATURAL,0.01,stop_first,USD040_TARGET_2R,-0.028182875264270613107822410147991543340380549682875264270613107822410147991543340,-0.0032318030806402899426155240108728480821504077318030806402899426155240108728480822,0.024951072183630323165206886137118695258230141951072183630323165206886137118695258,0.33736031410450015101177891875566294170945333736031410450015101177891875566294171,0.26547870733917245545152521896707943219571126547870733917245545152521896707943220,220.2135000000,151.9255000000,1,1,True
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_2R_BE1R,NATURAL,0.01,target_first,USD040_TARGET_2R,-0.016403956508607671398369072787677438840229537903956508607671398369072787677438840,0.014285563273935366958622772576260948353971609785563273935366958622772576260948354,0.030689519782543038356991845363938387194201147689519782543038356991845363938387194,0.34128662035638779824826336454243430987617034128662035638779824826336454243430988,0.27242524916943521594684385382059800664451827242524916943521594684385382059800664,210.0385000000,142.9755000000,1,1,True
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_2R_BE1R,NATURAL,0.02,stop_first,USD040_TARGET_2R,-0.053182875264270613107822410147991543340380549682875264270613107822410147991543340,-0.028231803080640289942615524010872848082150407731803080640289942615524010872848082,0.024951072183630323165206886137118695258230141951072183630323165206886137118695258,0.33705829054666263968589549984898822108124433705829054666263968589549984898822108,0.26517668378133494412564180006040471156750226517668378133494412564180006040471157,244.2385000000,175.9755000000,0,0,True
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_2R_BE1R,NATURAL,0.02,target_first,USD040_TARGET_2R,-0.041403956508607671398369072787677438840229537903956508607671398369072787677438840,-0.010714436726064633041377227423739051646028390214436726064633041377227423739051646,0.030689519782543038356991845363938387194201147689519782543038356991845363938387194,0.34098459679855028692237994563575958924796134098459679855028692237994563575958925,0.27212322561159770462096043491392328601630927212322561159770462096043491392328602,233.8885000000,165.6505000000,0,0,True
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_2R_BE1R,NATURAL,0,stop_first,ATR050_TARGET_2R,-0.017577158495606472858499234641380201789124317051764633736069891926625026729029984,-0.0028670052521716968101370846876804420043622384550905288769474247447932671387148875,0.014710153243434776048362149953699759784762078596674104859122467181831759590315096,0.32882686436982119494112516354121238552115133013519406890536415176624509376362843,0.24814653292629742695159180113388573920627998255560401221107719145224596598342782,125.39258811739630401967797528685748687438278692832560046253018835152284814889718,89.730650190214228487040419936763050256842678094637988509226488585809497157542324,0,575,True
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_2R_BE1R,NATURAL,0,target_first,ATR050_TARGET_2R,-0.016268828796522303647858153088828958875910187091014524708594968245857473305567272,0.0045468630426385953834957107767766011705178313224934222787438094462228689275738173,0.020815691839160899031353863865605560046428018413507946987338777692080342233141089,0.32926297426951591801133885739206279982555604012211077191452245965983427823811601,0.25163541212385521151330135194068905364151766245093763628434365460095944177932839,125.39258811739630401967797528685748687438278692832560046253018835152284814889718,89.730650190214228487040419936763050256842678094637988509226488585809497157542324,0,568,True
