entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,direction,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0,target_first,LONG,3036,3036,0,0,0,0,0,263,169,169,170,1,1589,1447,0,0.52338603425559947299077733860342555994729907773386034255599472990777338603425560,1.0000000000,-1.0000000000,0.046772068511198945981554677206851119894598155467720685111989459815546772068511199,1.00000000000,1.0981340704906703524533517622667588113337940566689702833448514167242570836212854,AVAILABLE,1589.0000000000,-1447.0000000000,73.0000000000,26,9,0,0,0,2026-03,0.0057471264367816091954022988505747126436781609195402298850574712643678160919540230,0.034166666666666666666666666666666666666666666666666666666666666666666666666666667,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0,target_first,SHORT,2988,2988,0,0,0,0,0,189,170,170,170,0,1580,1408,0,0.52878179384203480589022757697456492637215528781793842034805890227576974564926372,1.0000000000,-1.0000562500,0.057537081659973226238286479250334672021419009370816599732262382864792503346720214,1.00000000000,1.1220959730106090623311529635548909464751698626043194161237521298517867460864417,AVAILABLE,1580.0000000000,-1408.0792000000,72.0000000000,26,5,4,0,0,2026-09,-0.28571428571428571428571428571428571428571428571428571428571428571428571428571429,0.018882545141874462596732588134135855546001719690455717970765262252794496990541702,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.01,stop_first,LONG,3036,3036,0,0,0,0,0,263,169,169,170,1,1326,1710,0,0.43675889328063241106719367588932806324110671936758893280632411067193675889328063,0.9600000000,-1.0400000000,-0.16648221343873517786561264822134387351778656126482213438735177865612648221343874,-1.04000000000,0.71578947368421052631578947368421052631578947368421052631578947368421052631578947,AVAILABLE,1272.9600000000,-1778.4000000000,522.4800000000,39,2,7,0,0,2026-06,-0.26459893048128342245989304812834224598930481283422459893048128342245989304812834,-0.17679081099895579533588583362339018447615732683605986773407587887225896275670031,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.01,stop_first,SHORT,2988,2988,0,0,0,0,0,189,170,170,170,0,1391,1597,0,0.46552878179384203480589022757697456492637215528781793842034805890227576974564926,0.9600000000,-1.0400495929868503443957420162805259862241703193487789605510331872260488415779587,-0.10896894243641231593038821954484605087014725568942436412315930388219544846050870,-1.04000000000,0.80396917636507868465402401214912443364051326486526580544543177219524718006318277,AVAILABLE,1335.3600000000,-1660.9592000000,339.1992000000,26,1,8,0,0,2026-09,-0.32571428571428571428571428571428571428571428571428571428571428571428571428571429,-0.14235563198624247635425623387790197764402407566638005159071367153912295786758383,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.01,target_first,LONG,3036,3036,0,0,0,0,0,263,169,169,170,1,1589,1447,0,0.52338603425559947299077733860342555994729907773386034255599472990777338603425560,0.9600000000,-1.0400000000,0.0067720685111989459815546772068511198945981554677206851119894598155467720685111989,0.96000000000,1.0136622189144649407261708574770081335388868215405879538567859231300834618042635,AVAILABLE,1525.4400000000,-1504.8800000000,91.3600000000,26,4,5,0,0,2026-03,-0.034252873563218390804597701149425287356321839080459770114942528735632183908045977,-0.0058333333333333333333333333333333333333333333333333333333333333333333333333333333,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.01,target_first,SHORT,2988,2988,0,0,0,0,0,189,170,170,170,0,1580,1408,0,0.52878179384203480589022757697456492637215528781793842034805890227576974564926372,0.9600000000,-1.0400562500,0.017537081659973226238286479250334672021419009370816599732262382864792503346720214,0.96000000000,1.0357831389145801226878572454833354183749895520292554106830978875159177907226390,AVAILABLE,1516.8000000000,-1464.3992000000,115.5200000000,26,5,4,0,0,2026-09,-0.32571428571428571428571428571428571428571428571428571428571428571428571428571429,-0.021117454858125537403267411865864144453998280309544282029234737747205503009458298,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.02,stop_first,LONG,3036,3036,0,0,0,0,0,263,169,169,170,1,1326,1710,0,0.43675889328063241106719367588932806324110671936758893280632411067193675889328063,0.9200000000,-1.0800000000,-0.20648221343873517786561264822134387351778656126482213438735177865612648221343874,-1.08000000000,0.66055880441845354126055880441845354126055880441845354126055880441845354126055880,AVAILABLE,1219.9200000000,-1846.8000000000,641.9600000000,39,1,8,0,0,2026-06,-0.30459893048128342245989304812834224598930481283422459893048128342245989304812834,-0.21679081099895579533588583362339018447615732683605986773407587887225896275670031,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.02,stop_first,SHORT,2988,2988,0,0,0,0,0,189,170,170,170,0,1391,1597,0,0.46552878179384203480589022757697456492637215528781793842034805890227576974564926,0.9200000000,-1.0800495929868503443957420162805259862241703193487789605510331872260488415779587,-0.14896894243641231593038821954484605087014725568942436412315930388219544846050870,-1.08000000000,0.74193582798906703882889489060777375653336264621073083218424071067030480290568535,AVAILABLE,1279.7200000000,-1724.8392000000,457.3192000000,26,0,9,0,0,2026-09,-0.36571428571428571428571428571428571428571428571428571428571428571428571428571429,-0.18235563198624247635425623387790197764402407566638005159071367153912295786758383,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.02,target_first,LONG,3036,3036,0,0,0,0,0,263,169,169,170,1,1589,1447,0,0.52338603425559947299077733860342555994729907773386034255599472990777338603425560,0.9200000000,-1.0800000000,-0.033227931488801054018445322793148880105401844532279314888010540184453227931488801,0.92000000000,0.93544754152908955949729964933835009854360234456986357470116972535770047864035425,AVAILABLE,1461.8800000000,-1562.7600000000,157.0400000000,26,3,6,0,0,2026-03,-0.074252873563218390804597701149425287356321839080459770114942528735632183908045977,-0.045833333333333333333333333333333333333333333333333333333333333333333333333333333,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD025_TARGET_1R,NATURAL,0.02,target_first,SHORT,2988,2988,0,0,0,0,0,189,170,170,170,0,1580,1408,0,0.52878179384203480589022757697456492637215528781793842034805890227576974564926372,0.9200000000,-1.0800562500,-0.022462918340026773761713520749665327978580990629183400267737617135207496653279786,0.92000000000,0.95586351510522126635870711700095586351510522126635870711700095586351510522126636,AVAILABLE,1453.6000000000,-1520.7192000000,171.9592000000,26,3,6,0,0,2026-09,-0.36571428571428571428571428571428571428571428571428571428571428571428571428571429,-0.061117454858125537403267411865864144453998280309544282029234737747205503009458298,AVAILABLE,AVAILABLE,AVAILABLE
