entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,month,partial_month,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-03,False,417,417,0,0,0,0,0,39,22,22,22,0,196,221,0,0.47002398081534772182254196642685851318944844124700239808153477218225419664268585,0.9600000000,-1.0357466063348416289592760180995475113122171945701357466063348416289592760180995,-0.097697841726618705035971223021582733812949640287769784172661870503597122302158273,-1.04000000000,0.82201834862385321100917431192660550458715596330275229357798165137614678899082569,AVAILABLE,188.1600000000,-228.9000000000,53.7600000000,14,0,1,0,0,2026-03,-0.097697841726618705035971223021582733812949640287769784172661870503597122302158273,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-04,False,337,337,0,0,0,0,0,6,21,21,21,0,171,166,0,0.50741839762611275964391691394658753709198813056379821958456973293768545994065282,0.9600000000,-1.0400000000,-0.025163204747774480712166172106824925816023738872403560830860534124629080118694362,0.96000000000,0.95088044485634847080630213160333642261353104726598702502316960148285449490268767,AVAILABLE,164.1600000000,-172.6400000000,32.1600000000,10,0,1,0,0,2026-04,-0.025163204747774480712166172106824925816023738872403560830860534124629080118694362,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-05,False,143,143,0,0,0,0,0,8,18,18,20,2,71,72,0,0.49650349650349650349650349650349650349650349650349650349650349650349650349650350,0.9600000000,-1.0400000000,-0.046993006993006993006993006993006993006993006993006993006993006993006993006993007,-1.04000000000,0.91025641025641025641025641025641025641025641025641025641025641025641025641025641,AVAILABLE,68.1600000000,-74.8800000000,22.4000000000,10,0,1,0,0,2026-05,-0.046993006993006993006993006993006993006993006993006993006993006993006993006993007,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-06,False,346,346,0,0,0,0,0,34,21,21,21,0,171,175,0,0.49421965317919075144508670520231213872832369942196531791907514450867052023121387,0.9600000000,-1.0400000000,-0.051560693641618497109826589595375722543352601156069364161849710982658959537572254,-1.04000000000,0.90197802197802197802197802197802197802197802197802197802197802197802197802197802,AVAILABLE,164.1600000000,-182.0000000000,38.0000000000,10,0,1,0,0,2026-06,-0.051560693641618497109826589595375722543352601156069364161849710982658959537572254,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-07,False,679,679,0,0,0,0,0,44,22,22,22,0,321,358,0,0.47275405007363770250368188512518409425625920471281296023564064801178203240058910,0.9600000000,-1.0400000000,-0.094491899852724594992636229749631811487481590574374079528718703976435935198821797,-1.04000000000,0.82767511817791147400085947571981091534164159862483884830253545337344220025784272,AVAILABLE,308.1600000000,-372.3200000000,67.2800000000,15,0,1,0,0,2026-07,-0.094491899852724594992636229749631811487481590574374079528718703976435935198821797,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-08,False,220,220,0,0,0,0,0,1,20,20,21,1,101,119,0,0.45909090909090909090909090909090909090909090909090909090909090909090909090909091,0.9600000000,-1.0400000000,-0.12181818181818181818181818181818181818181818181818181818181818181818181818181818,-1.04000000000,0.78345184227537168713639301874595992243051066580478345184227537168713639301874596,AVAILABLE,96.9600000000,-123.7600000000,28.6400000000,8,0,1,0,0,2026-08,-0.12181818181818181818181818181818181818181818181818181818181818181818181818181818,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-09,True,59,59,0,0,0,0,0,0,4,4,4,0,30,29,0,0.50847457627118644067796610169491525423728813559322033898305084745762711864406780,0.9600000000,-1.0400000000,-0.023050847457627118644067796610169491525423728813559322033898305084745762711864407,0.96000000000,0.95490716180371352785145888594164456233421750663129973474801061007957559681697613,AVAILABLE,28.8000000000,-30.1600000000,9.3600000000,9,0,1,0,0,2026-09,-0.023050847457627118644067796610169491525423728813559322033898305084745762711864407,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-01,False,413,413,0,0,0,0,0,9,20,20,20,0,221,192,0,0.53510895883777239709443099273607748184019370460048426150121065375302663438256659,0.9600000000,-1.0400000000,0.030217917675544794188861985472154963680387409200968523002421307506053268765133172,0.96000000000,1.0625,AVAILABLE,212.1600000000,-199.6800000000,22.4800000000,8,1,0,0,0,2026-01,0.030217917675544794188861985472154963680387409200968523002421307506053268765133172,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-02,False,697,697,0,0,0,0,0,65,19,19,19,0,372,325,0,0.53371592539454806312769010043041606886657101865136298421807747489239598278335725,0.9600000000,-1.0400000000,0.027431850789096126255380200860832137733142037302725968436154949784791965566714491,0.96000000000,1.0565680473372781065088757396449704142011834319526627218934911242603550295857988,AVAILABLE,357.1200000000,-338.0000000000,33.2800000000,16,1,0,0,0,2026-02,0.027431850789096126255380200860832137733142037302725968436154949784791965566714491,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-03,False,417,417,0,0,0,0,0,39,22,22,22,0,235,182,0,0.56354916067146282973621103117505995203836930455635491606714628297362110311750600,0.9600000000,-1.0348351648351648351648351648351648351648351648351648351648351648351648351648352,0.089352517985611510791366906474820143884892086330935251798561151079136690647482014,0.96000000000,1.1978337050015928639694170117871933736858872252309652755654667091430391844536477,AVAILABLE,225.6000000000,-188.3400000000,28.1600000000,11,1,0,0,0,2026-03,0.089352517985611510791366906474820143884892086330935251798561151079136690647482014,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-04,False,337,337,0,0,0,0,0,6,21,21,21,0,177,160,0,0.52522255192878338278931750741839762611275964391691394658753709198813056379821958,0.9600000000,-1.0400000000,0.010445103857566765578635014836795252225519287833827893175074183976261127596439169,0.96000000000,1.0211538461538461538461538461538461538461538461538461538461538461538461538461538,AVAILABLE,169.9200000000,-166.4000000000,28.1600000000,10,1,0,0,0,2026-04,0.010445103857566765578635014836795252225519287833827893175074183976261127596439169,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,target_first,2026-05,False,143,143,0,0,0,0,0,8,18,18,20,2,79,64,0,0.55244755244755244755244755244755244755244755244755244755244755244755244755244755,0.9600000000,-1.0400000000,0.064895104895104895104895104895104895104895104895104895104895104895104895104895105,0.96000000000,1.1394230769230769230769230769230769230769230769230769230769230769230769230769231,AVAILABLE,75.8400000000,-66.5600000000,12.6400000000,7,1,0,0,0,2026-05,0.064895104895104895104895104895104895104895104895104895104895104895104895104895105,,AVAILABLE,AVAILABLE,AVAILABLE
