entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0.02,stop_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1304,2007,0,0.39383871942011476895197825430383569918453639383871942011476895197825430383569918,1.4165030674846625766871165644171779141104294478527607361963190184049079754601227,-1.0792326856003986048829098156452416542102640757349277528649725959142999501743896,-0.096315312594382361824222289338568408335850196315312594382361824222289338568408336,-1.08000000000,0.85277144255362369691877267984598480161771359451897951080784110950037395776585627,AVAILABLE,1847.1200000000,-2166.0200000000,337.6400000000,17,1,8,0,0,2026-08,-0.18227272727272727272727272727272727272727272727272727272727272727272727272727273,-0.11054520358868184955141476880607315389924085576259489302967563837129054520358868,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.14662795905359922675259530122591702481754642862559686068172072366470735040048094,-0.045465856025047630177828390032043355012651553654274213932200718053807832276545841,0.0003,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1.5R,NATURAL,0.02,target_first,3311,3311,0,0,0,0,0,116,167,167,170,3,1420,1891,0,0.42887345212926608275445484747810329205678042887345212926608275445484747810329206,1.4167887323943661971830985915492957746478873239436619718309859154929577464788732,-1.0791856160761501850872554204124801692226335272342675832892649391856160761501851,-0.0087284808215040773180308064028994261552401087284808215040773180308064028994261552,-1.08000000000,0.98583847035879141879906308495937748071777884492880033713260875956760782853278713,AVAILABLE,2011.8400000000,-2040.7400000000,104.1400000000,17,5,4,0,0,2026-08,-0.17090909090909090909090909090909090909090909090909090909090909090909090909090909,-0.029544688026981450252951096121416526138279932546374367622259696458684654300168634,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.061116081101996594954341433214672651292369602228757158334623123355517721714904813,0.042852700663230734481838155274019013983285764152686803145725960452557442352313094,0.3755,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,78,167,167,170,3,1099,2212,0,0.33192389006342494714587737843551797040169133192389006342494714587737843551797040,1.9832393084622383985441310282074613284804367606915377616014558689717925386715196,-0.99811030741410488245931283905967450271247739602169981916817359855334538878842676,-0.0085291452733313198429477499244941105406221685291452733313198429477499244941105406,-1.00000000000,0.98720910219130182714170539264976311474667318893750396318540460725964979029087516,AVAILABLE,2179.5800000000,-2207.8200000000,136.0000000000,21,5,4,0,0,2026-08,-0.27727272727272727272727272727272727272727272727272727272727272727272727272727273,-0.025877605917955615332885003362474781439139206455951580363147276395427034297242771,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.065779949139795330108480309960464823642679261736914032207561139057886404405933495,0.048938264099029874786778413261722566369344676985799310297480420581230163131017074,0.3851,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R,NATURAL,0,target_first,3311,3311,0,0,0,0,0,78,167,167,170,3,1177,2134,0,0.35548172757475083056478405315614617940199335548172757475083056478405315614617940,1.9843500424808836023789294817332200509770603228547153780798640611724723874256585,-0.99804123711340206185567010309278350515463917525773195876288659793814432989690722,0.062144367260646330413772274237390516460283902144367260646330413772274237390516460,-1.00000000000,1.0966091031166953075846785174333981275412945694941356546562620315331812078015983,AVAILABLE,2335.5800000000,-2129.8200000000,107.0800000000,21,7,2,0,0,2026-08,-0.27727272727272727272727272727272727272727272727272727272727272727272727272727273,0.042961214165261382799325463743676222596964586846543001686340640809443507588532884,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,0.000017015093975383042263605479104123304840352148359346931894008080603868493764564055,0.12378023020672602332735933142293058337566249125463624078741817693907476447417602,0.975,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R,NATURAL,0.01,stop_first,3311,3311,0,0,0,0,0,78,167,167,170,3,1099,2212,0,0.33192389006342494714587737843551797040169133192389006342494714587737843551797040,1.9432393084622383985441310282074613284804367606915377616014558689717925386715196,-1.0381103074141048824593128390596745027124773960216998191681735985533453887884268,-0.048529145273331319842947749924494110540622168529145273331319842947749924494110541,-1.04000000000,0.93002656447328310760789095501458868614728040761224578670034403170317467229891565,AVAILABLE,2135.6200000000,-2296.3000000000,189.3600000000,21,4,5,0,0,2026-08,-0.31727272727272727272727272727272727272727272727272727272727272727272727272727273,-0.065877605917955615332885003362474781439139206455951580363147276395427034297242771,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.10577994913979533010848030996046482364267926173691403220756113905788640440593350,0.0089382640990298747867784132617225663693446769857993102974804205812301631310170736,0.0477,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R,NATURAL,0.01,target_first,3311,3311,0,0,0,0,0,78,167,167,170,3,1177,2134,0,0.35548172757475083056478405315614617940199335548172757475083056478405315614617940,1.9443500424808836023789294817332200509770603228547153780798640611724723874256585,-1.0380412371134020618556701030927835051546391752577319587628865979381443298969072,0.022144367260646330413772274237390516460283902144367260646330413772274237390516460,-1.04000000000,1.0330988903836257098745925838983739470381639415307108225968092886356864904883576,AVAILABLE,2288.5000000000,-2215.1800000000,138.4800000000,21,5,4,0,0,2026-08,-0.31727272727272727272727272727272727272727272727272727272727272727272727272727273,0.0029612141652613827993254637436762225969645868465430016863406408094435075885328836,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.039982984906024616957736394520895876695159647851640653068105991919396131506235436,0.083780230206726023327359331422930583375662491254636240787418176939074764474176019,0.7535,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R,NATURAL,0.02,stop_first,3311,3311,0,0,0,0,0,78,167,167,170,3,1099,2212,0,0.33192389006342494714587737843551797040169133192389006342494714587737843551797040,1.9032393084622383985441310282074613284804367606915377616014558689717925386715196,-1.0781103074141048824593128390596745027124773960216998191681735985533453887884268,-0.088529145273331319842947749924494110540622168529145273331319842947749924494110541,-1.08000000000,0.87708719462591937201754459530858192369946074690327828982128330495894799520291180,AVAILABLE,2091.6600000000,-2384.7800000000,310.6400000000,21,1,8,0,0,2026-08,-0.35727272727272727272727272727272727272727272727272727272727272727272727272727273,-0.10587760591795561533288500336247478143913920645595158036314727639542703429724277,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.14577994913979533010848030996046482364267926173691403220756113905788640440593350,-0.031061735900970125213221586738277433630655323014200689702519579418769836868982926,0.0018,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R,NATURAL,0.02,target_first,3311,3311,0,0,0,0,0,78,167,167,170,3,1177,2134,0,0.35548172757475083056478405315614617940199335548172757475083056478405315614617940,1.9043500424808836023789294817332200509770603228547153780798640611724723874256585,-1.0780412371134020618556701030927835051546391752577319587628865979381443298969072,-0.017855632739353669586227725762609483539716097855632739353669586227725762609483540,-1.08000000000,0.97430168569118554774096516470046163074756361549896980708877046258704478079059699,AVAILABLE,2241.4200000000,-2300.5400000000,174.9600000000,21,5,4,0,0,2026-08,-0.35727272727272727272727272727272727272727272727272727272727272727272727272727273,-0.037038785834738617200674536256323777403035413153456998313659359190556492411467116,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.079982984906024616957736394520895876695159647851640653068105991919396131506235436,0.043780230206726023327359331422930583375662491254636240787418176939074764474176019,0.2893,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0,stop_first,3311,3311,0,0,0,0,0,104,167,167,170,3,881,1815,615,0.26608275445484747810329205678042887345212926608275445484747810329205678042887345,1.9895119182746878547105561861520998864926220204313280363223609534619750283768445,-0.96928352617079889807162534435261707988980716253443526170798898071625344352617080,-0.0019600120809423135004530353367562669888251283600120809423135004530353367562669888,-1.00000000000,0.99631115448313872005427768748675571675559852337041884221545367979620401789490246,AVAILABLE,1752.7600000000,-1759.2496000000,112.1796000000,17,5,4,0,0,2026-08,-0.18145454545454545454545454545454545454545454545454545454545454545454545454545455,-0.015867383994620040349697377269670477471418964357767316745124411566913248150638870,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.057193751687521168551760984987620869449069060760302823586656299045447389887753009,0.054330933025307062001761913357679211428060090193918467536514960063811503041691930,0.479,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_2R_BE1R,NATURAL,0,target_first,3311,3311,0,0,0,0,0,104,167,167,170,3,985,1742,584,0.29749320446994865599516762307459981878586529749320446994865599516762307459981879,1.9906192893401015228426395939086294416243654822335025380710659898477157360406091,-0.96799632606199770378874856486796785304247990815154994259471871412169919632606200,0.082908607671398369072787677438840229537903956508607671398369072787677438840229538,-1.00000000000,1.1627934559628657584262733109024903549272895305653445373686078265044510611003258,AVAILABLE,1960.7600000000,-1686.2496000000,86.1796000000,17,6,3,0,0,2026-08,-0.16327272727272727272727272727272727272727272727272727272727272727272727272727273,0.065838111298482293423271500843170320404721753794266441821247892074198988195615514,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,0.021804189506017469772818375889103299120918048680444854620540500228393508031061517,0.14541056946459847646561225188454003529440347378208908413452512683236041814370874,0.9959,AVAILABLE,WHOLE_SESSION
