entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,omitted_month,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.01,target_first,2026-03,5223,3538,1685,1685,0,0,0,7,148,142,148,6,1390,2148,0,0.39287733182589033352176370830977953646127755794234030525720746184284906726964387,1.4724317614506956991449043347478769877996147777651466950019387998931363383161935,-1.0257026856026676179238203956435155834071293620657319703954266434865225219006439,-0.044242289501996331681444088338813583978815525331723676188999858212999114410139545,-1.0166985132690588656227802426582882359989646522329257790865797235407018694403060,0.92895399661801893820225280798514853763476176415413905916353339893264655396486377,AVAILABLE,2046.6801484164670218114170252995490130414645410935539060526949318514595102595090,-2203.2093686745300433003662098422714731585138697171922724093764302090503770425831,203.67916247644043340722040185689623899006885619542271180121949716323466246373504,34,4,4,0,0,2026-07,-0.15598423322092252598755418857763922239164946873067794509699946174384943614364147,-0.057046555099335516681790630305336830411290925940681434295300576077683950915760806,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.01,target_first,2026-04,5446,3727,1719,1719,0,0,0,2,149,144,149,5,1472,2255,0,0.39495572846793667829353367319559967802522135766031660853233163402200160987389321,1.4726978677578518776617109891133348535021792567888715576733212122133460577915060,-1.0241793642664734977966085934093037035241697943913529954732367442887725164668223,-0.038023398197300717363379072219788287387119672755374851595658715855416320784434266,-1.0161383285302593659942363112391930835734870317002883704706458819523457548854322,0.93863966061335790776969399931092826061905450652207272204083982715071659178005536,AVAILABLE,2167.8112613395579639180385759748289043552078659932189328951288243780453970690968,-2309.5244664208977375313523781379798514470028863525010047921488583711820246326843,197.65099852378704394916957521540602107441621097739791548847896841290818451863565,34,4,4,0,0,2026-07,-0.15598423322092252598755418857763922239164946873067794509699946174384943614364147,-0.057046555099335516681790630305336830411290925940681434295300576077683950915760806,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.01,target_first,2026-05,5752,3955,1797,1797,0,0,0,7,150,147,150,3,1577,2378,0,0.39873577749683944374209860935524652338811630847029077117572692793931731984829330,1.4726280198723675197507088541290649937265619082271684862776706626442170876030734,-1.0253227793515156384411014352670937015691105207405835360795040567944396945967548,-0.029300425274129104820751289533151283748307633134478620970208346919657963742360291,-1.0162081372103121514044610209434257459291521741658833758104214941723435573153083,0.95247217335385303716039065347023344948835264382573485710235562155407861174976818,AVAILABLE,2322.3343873387235786468678629615354951067881292742447028598866349899303471500468,-2438.2175692979041882129392130651488223313448183211076487970606470571775937510830,197.65099852378704394916957521540602107441621097739791548847896841290818451863561,34,5,3,0,0,2026-07,-0.15598423322092252598755418857763922239164946873067794509699946174384943614364147,-0.045515486903133716844887211133972692287474814768800646593645423681127738988401814,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.01,target_first,2026-06,5328,3660,1668,1668,0,0,0,7,149,143,149,6,1455,2205,0,0.39754098360655737704918032786885245901639344262295081967213114754098360655737705,1.4714361320627190753513346260238078208548832700678308789552422369053832720206586,-1.0252148751810272731627677656246862605990365803683206913733817253893181296818767,-0.032693778039046142810850011567702957725961885727719452349297609231178638021442385,-1.0166730296898565835385397552184752480929652650632713392469302378448426091316121,0.94706746387954249346961870826416942260790004956853219688052140442715991780521710,AVAILABLE,2140.9395721512562546361918808646403793438551579486939288798774546973326607900582,-2260.5987997741651373239029232024332046208756597121471244783067044834464759485382,168.11795837465393880198887091780171963417429658275665754237388272241631723615330,34,4,4,0,0,2026-07,-0.15598423322092252598755418857763922239164946873067794509699946174384943614364147,-0.051113636691663726474201047619069159022674581470195518187000658860040609655184357,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.01,target_first,2026-07,4828,3301,1527,1527,0,0,0,7,148,142,148,6,1358,1943,0,0.41139048773099060890639200242350802787034232050893668585277188730687670402908210,1.4724567614127955731806709928830994596701464525825232547359736015137634254392191,-1.0242828184004248583052223183192949597008391980968444095409070086698706561169683,0.0028520950762044497704647815331290395435711362329287767929323941260624195429231085,-1.0157923627779405497330516676284610286430788523184707509519407652726836276504836,1.0047306066155986325911314571881544980171437521430028663026510095459011274056822,AVAILABLE,1999.5962819985763883793512083352490662320588826070665799314521508556907317464596,-1990.1815161520254996870469644943901066987305619021686877379823178455586848352694,117.38742776489452190294222092261939297273305421568346162751819772234118545441432,31,5,3,0,0,2026-01,-0.11121317446991716047095184863250578965803771523344909207020884208835062771612569,-0.010316216685343721472072414574335939891794460718334465584655100177103511938361483,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.01,target_first,2026-08,5662,3891,1771,1771,0,0,0,6,149,145,149,4,1544,2347,0,0.39681315857106142379850938062194808532510922641994345926497044461578000514006682,1.4738776298674267748693672202751967356522796112906531057044007738225209089719091,-1.0240668110947225428539192883495734469435034869877272477674864393550602208381545,-0.032849587541507804595180051825120822443917492708154062015599043532344912581475448,-1.0161383285302593659942363112391930835734870317002883704706458819523457548854322,0.94681982393892935520015650256254773207890230006354949573226451030535743469154549,AVAILABLE,2275.6670605153069403983029881049037598471197198327683952075947947819722834526277,-2403.4848056393138080781485697564488799764026839601958505102906731663263383071486,197.65099852378704394916957521540602107441621097739791548847896841290818451863561,34,4,4,0,0,2026-07,-0.15598423322092252598755418857763922239164946873067794509699946174384943614364147,-0.050009298745333116358158098864150066746047654728173452509963575446472467665382382,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.01,target_first,2026-09,5912,4049,1863,1863,0,0,0,7,166,160,166,6,1610,2439,0,0.39762904420844653000740923684860459372684613484811064460360582859965423561373179,1.4726988146515041434669738614783451884300687490354184852442046416713006903512183,-1.0245012090818979586062742548993432906558650084560327316453151931010473262387984,-0.031541950447475290209650528703226113247034840621694263087121334374576516974800603,-1.0162534688183953253507319688080295926859390317221047590088113404156555192874415,0.94888927442528291448403333354298946749423442945427244312120272982506258670550176,AVAILABLE,2371.0450915889216709818279169801357533724106859470237612431694730907941114654614,-2498.7584489507491210407029076994982859096547556242638324829237559734544286964294,197.65099852378704394916957521540602107441621097739791548847896841290818451863561,34,4,4,0,0,2026-07,-0.15598423322092252598755418857763922239164946873067794509699946174384943614364147,-0.047696803955055227852797159940776785943646030263344223867700189998108404258483553,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.02,stop_first,2026-01,5309,3613,1696,1696,0,0,0,7,150,144,150,6,1450,2163,0,0.40132853584278992526985884306670357044007749792416274564074176584555770827567119,1.4472930884686427109003049472760782172369628966632994084420885185044681679846778,-1.0493084294130792649302266768860767521456999371779883993841271447871694236732369,-0.047350997658720874408701391794705397148506162179409013458853767601209139171720971,-1.0319207852676036979834212584810307040089057129626341076045732752326193058015691,0.92462324894923125897398525678716831255005707589136791436803513538848380401408597,AVAILABLE,2098.5749782795319308054421735503134149935962001617841422410283518314788435777828,-2269.6541328204904500440803021045840148911489641159889078678670141746474634052114,224.23611948093848372689687355614135265966345924027956055109415390559146668649206,34,2,6,0,0,2026-07,-0.18250076182894534785914756628976712196964301465533582444971357956650357859319245,-0.064904756869968397802613542173071068590228920074268702503437769273792006597041557,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.02,stop_first,2026-02,4732,3266,1466,1466,0,0,0,6,151,145,151,6,1291,1975,0,0.39528475199020208205756276791181873851806491120636864666258420085731781996325781,1.4444517634749828711810367960793330811005428684260843927992254412694808352949741,-1.0520064794110084532660407053479667227561076196678049094110632258472007010957470,-0.065194602017923701318344117980347602493114423057513700239758060737697987231564351,-1.0328464218231050263368745428387277737564714553976391228638100813800677847292652,0.89751924784084118899624749743622547589804616803772848340960903537994347762839005,AVAILABLE,1864.7872266462028866947185037384190077008008431380749511038000446788997583658115,-2077.7127968367416952004303930622342774433125488439146960868498710482213846641004,243.47284639395391754218478619434087585959645705404702629038289380369047494158071,34,2,6,0,0,2026-07,-0.18250076182894534785914756628976712196964301465533582444971357956650357859319245,-0.088931769293805397916305464496176828443072659162512905237631151119316020318592426,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.02,stop_first,2026-03,5223,3538,1685,1685,0,0,0,7,148,142,148,6,1383,2155,0,0.39089881288863764838892029395138496325607687959299039005087620124364047484454494,1.4455492028274251403645285716989717949433637558395853200637696965397400230855228,-1.0521892816626072473166167915705416131203635801667333243522000246798051640307964,-0.075826273169188707982805588234833008441976099754992599302090888318405787608560709,-1.0335592433141787369186177581477908723396916687693656942416390724443933774376585,0.88168593070800143275387143650167984737146000923509784859572887520040074056707683,AVAILABLE,1999.1945475103289691241430146596779924066720743261464976481934903144604519272781,-2267.4679019829186179673091858345171762743835152593103139789910531849801284863662,298.82063067600475787963906804536478998479619228137109763813063030488852520237933,34,1,7,0,0,2026-07,-0.18250076182894534785914756628976712196964301465533582444971357956650357859319245,-0.088931769293805397916305464496176828443072659162512905237631151119316020318592426,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.02,stop_first,2026-04,5446,3727,1719,1719,0,0,0,2,149,144,149,5,1470,2257,0,0.39441910383686611215454789374832304802790448081566943922726053125838475986047760,1.4472603774665954512945601366350585359346260849372845759232778472327000398793662,-1.0494538746604431154266043027022610335772885224903156798629050030464936735628559,-0.064702076799765172555632549059690664062259149558045120161888424052553571936865616,-1.0323070967084049040499144787347348422402473106797704704772387360546854098610440,0.89819181403855797419646954718243878460089553158946404438879031597678555054399327,AVAILABLE,2127.4727548758953134030034008535360478239003448578083266072184354320690586226683,-2368.6173951086201115178459111990031527839401952606424894505765918759362212313658,271.69191643613990715131540721599271107712460175104144415069122387823601125198969,34,2,6,0,0,2026-07,-0.18250076182894534785914756628976712196964301465533582444971357956650357859319245,-0.084862191076525684913029605225130432680420318023365124519720440739870431447107659,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.02,stop_first,2026-05,5752,3955,1797,1797,0,0,0,7,150,147,150,3,1570,2385,0,0.39696586599241466498103666245259165613147914032869785082174462705436156763590392,1.4470328453040078718363122159955750619562911018321942738891343169448724704930717,-1.0509753679572948696590040400236036006944915731687644689497051995519229390682534,-0.059351374323857371770850684284005496936785176265729013511784076694787972440874890,-1.0325352093936050834684390148390788805544779429542641234993622013312151117484402,0.90635246575506383358597297683201015553356525850228110695238086525059527706431606,AVAILABLE,2271.8415671272923587830101791130528472713770298765450100059408776034497786741226,-2506.5762525781482641367246354562945876563624020075032584450469009313362096777844,265.28196165427101439018735321376734650207012347916552974643909076225527964695173,34,2,6,0,0,2026-07,-0.18250076182894534785914756628976712196964301465533582444971357956650357859319245,-0.077214170189555153760624972210416922221337684180965135566410347626844543687315977,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,ATR050_TARGET_1.5R,NATURAL,0.02,stop_first,2026-06,5328,3660,1668,1668,0,0,0,7,149,143,149,6,1448,2212,0,0.39562841530054644808743169398907103825136612021857923497267759562841530054644809,1.4447872491383685847801507009110929666750767176971294627388967658965845344987180,-1.0515771347505518657438043425018144109746844034523597976004064670199258335228875,-0.063944449539853283132141254288183295445489293227097379848682127877000420163520074,-1.0335514598196318013951643166547018981122454764243148518717832229684178294789218,0.89938616994404477697134781514725526610749369449971579034861478892986105241299793,AVAILABLE,2092.0519367523577107616582149192626157455110872254434620459225170182544059541437,-2326.0886220682207270252952056140134770760019004366198722920991050480759437526272,264.58396151927812530010988756527646744757556455938369155350965546419038644177501,34,2,6,0,0,2026-07,-0.18250076182894534785914756628976712196964301465533582444971357956650357859319245,-0.084399389867695694362416999920661671001292144940354291700208465834411822301888523,AVAILABLE,AVAILABLE,AVAILABLE
