entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,10000,20260908,10000,0,-0.072822797164584340225403513763439296770093930123830207003186535128689159201881476,0.036408307231036791953611674980299857091125657004581362567573346822957271653151366,0.2702,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,10000,20260908,10000,0,-0.066175160460918120437892304849637511909326776187619918308584431699524579418223467,0.045048649268631273318565155838291953416797783633531261899209061403180688773617272,0.3749,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,-0.098731296819182631821791287665215365745061110377462910282533762856432861376516884,0.010696929647054848146456976478422782718706517461003088685723219609669826943626672,0.0622,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,10000,20260908,10000,0,-0.091979169928848765368310641925121827405452589177659276094307633119531595958328780,0.019345408241148408064492041353753364686329618597865973857254928694146065491918552,0.108,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,-0.12452355635540249398616713633636954438824074276906420532611581474478252338671350,-0.014884949313913928472162350626757318321090836322539170327897735297789506416069096,0.0058,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,10000,20260908,10000,0,-0.11799291741730610953718307510637750203269481504149623330151110221454930653421120,-0.0063089677443928037036233877723876448473134657597572637475376353568132378248739497,0.0136,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,0.0058340236824820238831412927238980032058600007782579118590096714954600840424778794,0.11968249883676984558002701065138184670404949692505802630886532176391659020998046,0.9827,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,0.0059002362025374120219574972097578753160376284080814522925540395872719404140947088,0.10931559642953246035099918903448868948158313043783815273707795348183464995787972,0.9851,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1R,COMMON_USABLE_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,0.0058340236824820238831412927238980032058600007782579118590096714954600840424778794,0.11968249883676984558002701065138184670404949692505802630886532176391659020998046,0.9827,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1R,COMMON_USABLE_IDENTITIES,0.01,target_first,10000,20260908,10000,0,0.0059002362025374120219574972097578753160376284080814522925540395872719404140947088,0.10931559642953246035099918903448868948158313043783815273707795348183464995787972,0.9851,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1R,COMMON_USABLE_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,0.0058340236824820238831412927238980032058600007782579118590096714954600840424778794,0.11968249883676984558002701065138184670404949692505802630886532176391659020998046,0.9827,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1R,COMMON_USABLE_IDENTITIES,0.02,target_first,10000,20260908,10000,0,0.0059002362025374120219574972097578753160376284080814522925540395872719404140947088,0.10931559642953246035099918903448868948158313043783815273707795348183464995787972,0.9851,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,-0.0014937000599529652667906954372185946956227463955212214600694354973089879630249965,0.11923396631747602087343268169377171091447253969796794198329803455668719381845265,0.9727,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,0.0088688318273131828383308352689504786633545177147914737323487294721752687553938351,0.13145529690566367148350096311979991484686848123542864389932165730723398087595725,0.9881,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.01,stop_first,10000,20260908,10000,0,-0.0014937000599529652667906954372185946956227463955212214600694354973089879630249965,0.11923396631747602087343268169377171091447253969796794198329803455668719381845265,0.9727,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.01,target_first,10000,20260908,10000,0,0.0088688318273131828383308352689504786633545177147914737323487294721752687553938351,0.13145529690566367148350096311979991484686848123542864389932165730723398087595725,0.9881,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.02,stop_first,10000,20260908,10000,0,-0.0014937000599529652667906954372185946956227463955212214600694354973089879630249965,0.11923396631747602087343268169377171091447253969796794198329803455668719381845265,0.9727,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_1.5R,COMMON_USABLE_IDENTITIES,0.02,target_first,10000,20260908,10000,0,0.0088688318273131828383308352689504786633545177147914737323487294721752687553938351,0.13145529690566367148350096311979991484686848123542864389932165730723398087595725,0.9881,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R,COMMON_USABLE_IDENTITIES,0,stop_first,10000,20260908,10000,0,-0.0024988654860892568882738032879133689802150133073778918668261919164497138363181199,0.12320337142733641469296011213926016493610346946273808751925849766736753704269752,0.9691,AVAILABLE,WHOLE_SESSION
IMMEDIATE_MINUS_MOMENTUM,USD025_TARGET_2R,COMMON_USABLE_IDENTITIES,0,target_first,10000,20260908,10000,0,0.012671694025606605176171711485442919210727637523636311147678228611844859192540308,0.14897530482446132343241885458407429548866955167710404689843072878863078904397940,0.9911,AVAILABLE,WHOLE_SESSION
