entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,atr_reference_model,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,55,164,164,170,6,1160,1133,0,0.50588748364587876144788486698648059310946358482337549062363715656345399040558221,0.93298850574712643678160919540229885057471264367816091954022988505747126436781078,-1.0652544866137099146807884671962341865254486613709914680788467196234186525448743,-0.054368367495275476086640500072684983282453845035615641808402384067451664486118317,0.93333333333333333333333333333333333333333333333333333333333333333333333333333333,0.89670790985417587273530711444984533804684047724259832081307998232434821034024430,AVAILABLE,1082.2666666666666666666666666666666666666666666666666666666666666666666666666605,-1206.9333333333333333333333333333333333333333333333333333333333333333333333333426,151.31666666666666666666666666666666666666666666666666666666666666666666666666916,19,2,7,0,0,2026-02,-0.10042194092827004219409282700421940928270042194092827004219409282700421940928301,-0.062395937395937395937395937395937395937395937395937395937395937395937395937397243,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.10559103515679207653848136297494577995583098412849456610087505402179903494268733,0.00035051741633782813243921530652593184367459913977453377555055236804092930173256452,0.0256,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,55,164,164,170,6,1215,1078,0,0.52987352812908853030963802878325337985172263410379415612734409071085913650239860,0.93300411522633744855967078189300411522633744855967078189300411522633744855966420,-1.0651824366110080395794681508967223252937538651824366110080395794681508967223322,-0.0063962785288559383631341764791394097979357464747783108009885157726413722924845866,0.93333333333333333333333333333333333333333333333333333333333333333333333333333333,0.98722712494194147700882489549465861588481189038550859266140269391546679052483569,AVAILABLE,1133.5999999999999999999999999999999999999999999999999999999999999999999999999920,-1148.2666666666666666666666666666666666666666666666666666666666666666666666666741,62.400000000000000000000000000000000000000000000000000000000000000000000000000050,15,5,4,0,0,2026-08,-0.082051282051282051282051282051282051282051282051282051282051282051282051282051323,-0.011446886446886446886446886446886446886446886446886446886446886446886446886447179,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.058767854654614019699521486396472804624530728853299053685182992590731124647920779,0.048040005998265366502119657288297708500514716014557952159780820141202409033063421,0.4009,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,24,164,164,170,6,1179,1114,0,0.51417357174007849978194505015263846489315307457479284779764500654164849542084605,0.99439143341815097540288379983036471586089906700593723494486853265479219677692960,-0.99079892280071813285457809694793536804308797127468581687612208258527827648114901,0.029933493240296554731792411687745311818578281726995202791103358046227649367640645,1.00000000000,1.0621857304643261608154020385050962627406568516421291053227633069082672706681767,AVAILABLE,1172.3875000000,-1103.7500000000,39.0000000000,19,5,3,1,0,2026-08,-0.061538461538461538461538461538461538461538461538461538461538461538461538461538462,0.017495876855415063221550302363936228697086311159978009895547003848268279274326553,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.022737229636447307869305108145421076852277956741831569259088817303267372296364473,0.083417764563274877962039416001849789140470123440560852311473504939617765018092956,0.8637,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,24,164,164,170,6,1203,1090,0,0.52464020933275185346707370257304840819886611426079372001744439598778892280854775,0.99450332502078137988362427265170407315045719035743973399833748960931005818786367,-0.99059633027522935779816513761467889908256880733944954128440366972477064220183486,0.050866768425643262102049716528565198430004361098996947230702136938508504143044047,1.00000000000,1.1080226904376012965964343598055105348460291734197730956239870340356564019448947,AVAILABLE,1196.3875000000,-1079.7500000000,37.0000000000,15,5,3,1,0,2026-08,-0.061538461538461538461538461538461538461538461538461538461538461538461538461538462,0.037724775224775224775224775224775224775224775224775224775224775224775224775224775,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.0033066688279489150392699511056119964330706657932778648602429985402099091758487878,0.10642365595600630811898417532220349121757572461797813910489966827994997009081516,0.9651,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,24,164,164,170,6,1178,1114,1,0.51373746184038377671173135630178805058874836458787614478848669864805931094635848,0.97021434634974533106960950764006791171477079796264855687606112054329371816638370,-1.0157989228007181328545780969479353680430879712746858168761220825852782764811490,0.0049334932402965547317924116877453118185782817269952027911033580462276493676406454,0.97500000000,1.0099969070342877341816896429833863556026864616472251679038529515729939908094733,AVAILABLE,1142.9125000000,-1131.6000000000,62.4625000000,19,4,5,0,0,2026-08,-0.086538461538461538461538461538461538461538461538461538461538461538461538461538462,-0.0075041231445849367784496976360637713029136888400219901044529961517317207256734469,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.047737229636447307869305108145421076852277956741831569259088817303267372296364473,0.058417764563274877962039416001849789140470123440560852311473504939617765018092956,0.5669,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,24,164,164,170,6,1202,1090,1,0.52420409943305713039686000872219799389446140427387701700828608809419973833406018,0.97030990016638935108153078202995008319467554076539101497504159733777038269550749,-1.0155963302752293577981651376146788990825688073394495412844036697247706422018349,0.025866768425643262102049716528565198430004361098996947230702136938508504143044047,0.97500000000,1.0535794941282746160794941282746160794941282746160794941282746160794941282746161,AVAILABLE,1166.3125000000,-1107.0000000000,39.9250000000,15,5,4,0,0,2026-08,-0.086538461538461538461538461538461538461538461538461538461538461538461538461538462,0.012724775224775224775224775224775224775224775224775224775224775224775224775224775,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.028306668827948915039269951105611996433070665793277864860242998540209909175848788,0.081423655956006308118984175322203491217575724617978139104899668279949970090815161,0.8169,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,24,164,164,170,6,1177,1116,0,0.51330135194068905364151766245093763628434365460095944177932839075447012647187091,0.94602803738317757009345794392523364485981308411214953271028037383177570093457944,-1.0389672939068100358422939068100358422939068100358422939068100358422939068100358,-0.020066506759703445268207588312254688181421718273004797208896641953772350632359355,0.95000000000,0.96031651915178042022876486378680235880076326825429338393040028460850160092282151,AVAILABLE,1113.4750000000,-1159.4875000000,100.6375000000,19,4,5,0,0,2026-08,-0.11153846153846153846153846153846153846153846153846153846153846153846153846153846,-0.032504123144584936778449697636063771302913688840021990104452996151731720725673447,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.072737229636447307869305108145421076852277956741831569259088817303267372296364473,0.033417764563274877962039416001849789140470123440560852311473504939617765018092956,0.2264,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,24,164,164,170,6,1201,1092,0,0.52376798953336240732664631487134757959005669428696031399912778020061055385957261,0.94610741049125728559533721898417985012489592006661115736885928393005828476269775,-1.0387248168498168498168498168498168498168498168498168498168498168498168498168498,0.00086676842564326210204971652856519843000436109899694723070213693850850414304404710,0.95000000000,1.0017522012717234387225460917095533539777172894878943830378100790143592343211047,AVAILABLE,1136.2750000000,-1134.2875000000,66.6375000000,15,4,5,0,0,2026-08,-0.11153846153846153846153846153846153846153846153846153846153846153846153846153846,-0.012275224775224775224775224775224775224775224775224775224775224775224775224775225,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.053306668827948915039269951105611996433070665793277864860242998540209909175848788,0.056423655956006308118984175322203491217575724617978139104899668279949970090815161,0.5073,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,14,164,164,170,6,1165,1128,0,0.50806803314435237679895333624073266463148713475795900566942869603139991277802006,0.99943326627577808713587079476774039475460899148999369513250907864329521203852996,-0.99784744289866893923220866701903892778666766170657285188595943925298306251818927,0.016907038648749632821351111865216593696362125024347351897955006167498485610279041,1.0,1.0344427922237843354181862634763879144967522687893509860233465895482440864068289,AVAILABLE,1164.3397552112814715132894759044175598891194750858426548293730766194389220248874,-1125.5719155896985634539313763974759105433611224050141769273622474773648945205175,43.003799346295795609719621108338217903539745561976384161132378413005833452935791,16,6,3,0,0,2026-08,-0.076952302663813812382458623910293983873382658169049108931787526253891026561044546,0.0022459867078814994243280345607662094005873958140793822618629943188877667984651960,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.032692896887322515152566982739469674458882979771496901302259554725413049880513008,0.067326142597814281919073120842963222639977325592545499328431876426572907658315723,0.7472,AVAILABLE,WHOLE_SESSION
IMMEDIATE_CLOSE_BACK_1M,ATR050_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,2293,2293,0,0,0,0,0,14,164,164,170,6,1179,1114,0,0.51417357174007849978194505015263846489315307457479284779764500654164849542084605,0.99943999593832185878989777430400132306117003824074864701388725752284895846046429,-0.99782039101409206773243391059019381556854678851437538323820668534772432183170332,0.029118115840201878787334539689028194219694004658015036154387627187995650895931025,1.0,1.0600661447857487374237826244391823434375081883352482609360159581828663972872927,AVAILABLE,1178.3397552112814715132894759044175598891194750858426548293730766194389220248874,-1111.5719155896985634539313763974759105433611224050141769273622474773648945205175,39.003799346295795609719621108338217903539745561976384161132378413005833452935791,16,6,3,0,0,2026-08,-0.076952302663813812382458623910293983873382658169049108931787526253891026561044546,0.015792188933329007890704425465459000885831711247074060539560139940561690359181209,AVAILABLE,AVAILABLE,AVAILABLE,10000,20260908,10000,0,-0.021499737131938879221468742329558880877100319036827314088699640631726925847287091,0.079429532950519963521169110704887409704531642502753824962440844767652559047688654,0.8709,AVAILABLE,WHOLE_SESSION
