entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,atr_reference_model,comparison,paired_mean_r_difference,left_eligible_entries,right_eligible_entries,left_missing_partner,right_missing_partner,common_eligible_identities,common_usable_identities,common_unavailable_attrition,left_common_atr_unavailable,right_common_atr_unavailable,common_contributing_sessions,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
MOMENTUM_AWAY_025,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.092728187095792186684472611067649400640534991039579010159300091821526859815956907,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.13657317662453792720949387399629186214171589267249130515997998401968501045005609,-0.047760986861352609081448759859411296477166148285835810966989534024779924983727979,0,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD025_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.00060697497458006547235139894643727942841377891836688894717887970031473860383575181,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.044563191921160327690846033671504977410924415319898770037698854503564861899366949,0.046389381403566651186873965369859057072535101571057797040298701136435254604183300,0.487,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.047970145429950339545719631786654315627447630011757153326544929926283447752617857,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.084707391961015929335015865144847693376858788072738494561855649453763540180182131,-0.010966031084363711065636482239877932537970305104203592245688094633379299446556668,0.0058,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.007727721187526097121477207544230073203205205769332910902302505683859205328375432,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.044302882752304643242251336356119507369983470679865459351896149927845013838288773,0.029661260158520480353853822734175290595195127592985416212181173674616850402735012,0.3432,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.055525424848729848973681980013010443992577169111526667601508369459763739642873302,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.092451511669934090866363806591141256090213004891333023849390943126356418177230354,-0.018194406414619172343437962227613948485363458890693598415182819507680531524144049,0.002,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.015283000606305606549439555770586201568334744869102425177265945217339497218630825,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.052045181117679275748411506730979609412784693012134739414788832510543285191288001,0.022052567698041082873494838905943350301710942546103215675944619172862277258739633,0.2125,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.06308070426750935840164432823936657235770670821129618187647180899324403153312872,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.10049321302690821014274047260541067423765736848663635124200987233458972261714997,-0.025188286863698184598708636719861867310272735989812896344856169992162340287300186,0.0008,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.022838280025085115977401903996942329933464283968871939452229384750819789108886278,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.059949477465443795256195738774789280769967424598089815279492986418437799113689218,0.014692088644351100081611273008952000880942167575078568592315352761541245505451018,0.1152,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,-0.0088687312885361981315782176452401742133062158703430119124035157848693063384764424,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.048588265475464876762587119362284993772037536228266519676665633181853802770276296,0.029598340165119439323504558727533046024525347429228429513964956644693678737020489,0.326,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1R,FIXED_MINUS_ATR,0.00034338992358501398963390356688103790790590534177820020880860542725190578273567879,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.038164372813067805303363778462946147716303406437736994073933527282077374682647232,0.037454553993681305427632836059240501525688638341805946538829728892767670718605644,0.51,AVAILABLE,WHOLE_SESSION
