entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,context_field,context_value,evidence_label,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,confluence,ISOLATED,DESCRIPTIVE_ONLY,1905,1905,0,0,0,0,0,22,166,166,170,4,748,1157,0,0.39265091863517060367454068241469816272965879265091863517060367454068241469816273,1.4858957219251336898395721925133689839572192513368983957219251336898395721925134,-0.99833621434745030250648228176318063958513396715643906655142610198789974070872947,-0.022900262467191601049868766404199475065616797900262467191601049868766404199475066,-1.00000000000,0.96223188970413176633551933857108845745947232863666861459212605242083847369218449,AVAILABLE,1111.4500000000,-1155.0750000000,88.3000000000,15,4,5,0,0,2026-07,-0.21559485530546623794212218649517684887459807073954983922829581993569131832797428,-0.050250885478158205430932703659976387249114521841794569067296340023612750885478158,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,confluence,THREE_PLUS_IDENTITIES,DESCRIPTIVE_ONLY,2213,2213,0,0,0,0,0,18,104,104,170,66,864,1349,0,0.39042024401265250790781744238590149118843199276999548124717577948486217803886127,1.4787471064814814814814814814814814814814814814814814814814814814814814814814815,-0.99790770941438102297998517420311341734618235730170496664195700518902891030392884,-0.030971531857207410754631721644826028016267510167193854496159060099412562132851333,-1.00000000000,0.94908546606966763298302044121224727051224671337917919442272657209023327161537019,AVAILABLE,1277.6375000000,-1346.1775000000,133.6400000000,33,4,5,0,0,2026-06,-0.17721518987341772151898734177215189873417721518987341772151898734177215189873418,-0.054615196078431372549019607843137254901960784313725490196078431372549019607843137,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,confluence,TWO_IDENTITIES,DESCRIPTIVE_ONLY,1906,1906,0,0,0,0,0,20,144,144,170,26,798,1107,1,0.41867785939139559286463798530954879328436516264428121720881427072402938090241343,1.4942355889724310776942355889724310776942355889724310776942355889724310776942356,-0.99819331526648599819331526648599819331526648599819331526648599819331526648599819,0.045855194123819517313746065057712486883525708289611752360965372507869884575026233,-1.00000000000,1.0790950226244343891402714932126696832579185520361990950226244343891402714932127,AVAILABLE,1192.4000000000,-1105.0000000000,80.2000000000,25,5,4,0,0,2026-04,-0.091494845360824742268041237113402061855670103092783505154639175257731958762886598,0.012303980699638118214716525934861278648974668275030156815440289505428226779252111,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,creation_first_touch,False,DESCRIPTIVE_ONLY,5314,5314,0,0,0,0,0,52,168,168,170,2,2109,3204,1,0.39687617613850207000376364320662401204365826119683853970643582988332706059465563,1.4844535324798482693219535324798482693219535324798482693219535324798482693219535,-0.99828417602996254681647940074906367041198501872659176029962546816479400749063670,-0.012756868648852088821979676326684230334964245389537071885585246518630033872788860,-1.00000000000,0.97880570673307274263502998668908340700061982130700226121442768920768390832897583,AVAILABLE,3130.7125000000,-3198.5025000000,247.6900000000,43,7,2,0,0,2026-07,-0.17640255009107468123861566484517304189435336976320582877959927140255009107468124,-0.025810559006211180124223602484472049689440993788819875776397515527950310559006211,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,creation_first_touch,True,DESCRIPTIVE_ONLY,710,710,0,0,0,0,0,8,169,169,170,1,301,409,0,0.42394366197183098591549295774647887323943661971830985915492957746478873239436620,1.4975913621262458471760797342192691029900332225913621262458471760797342192691030,-0.99694376528117359413202933985330073349633251833740831295843520782396088019559902,0.060598591549295774647887323943661971830985915492957746478873239436619718309859155,-1.00000000000,1.1055180870631514408338442673206621704475781729000613120784794604537093807480074,AVAILABLE,450.7750000000,-407.7500000000,25.0000000000,18,6,3,0,0,2026-09,-0.34210526315789473684210526315789473684210526315789473684210526315789473684210526,0.041507177033492822966507177033492822966507177033492822966507177033492822966507177,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,1H_HIGH,DESCRIPTIVE_ONLY,2157,2157,0,0,0,0,0,17,139,139,170,31,858,1298,1,0.39777468706536856745479833101529902642559109874826147426981919332406119610570236,1.4857080419580419580419580419580419580419580419580419580419580419580419580419580,-0.99779564714946070878274268104776579352850539291217257318952234206471494607087827,-0.0094581594807603152526657394529439035697728326379230412610106629578117756142790913,-1.00000000000,0.98424782672898946155382965724714823025718286940298867592371859771781208770102817,AVAILABLE,1274.7375000000,-1295.1387500000,132.3762500000,21,6,3,0,0,2026-07,-0.16791593309859154929577464788732394366197183098591549295774647887323943661971831,-0.032542309976247030878859857482185273159144893111638954869358669833729216152019002,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,1H_LOW,DESCRIPTIVE_ONLY,2437,2437,0,0,0,0,0,28,139,139,170,31,973,1464,0,0.39926138695116947066064833812064013130898645876077144029544521953221173574066475,1.4840698869475847893114080164439876670092497430626927029804727646454265159301131,-0.99893357240437158469945355191256830601092896174863387978142076502732240437158470,-0.0075661674189577349199835863766926549035699630693475584735330324169060320065654493,-1.00000000000,0.98739177965572917156359539843976371660009692713626468117040799144579559314877290,AVAILABLE,1444.0000000000,-1462.4387500000,89.0137500000,28,5,4,0,0,2026-09,-0.41767241379310344827586206896551724137931034482758620689655172413793103448275862,-0.023458756345177664974619289340101522842639593908629441624365482233502538071065990,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,ORH5,DESCRIPTIVE_ONLY,411,411,0,0,0,0,0,5,149,149,170,21,162,249,0,0.39416058394160583941605839416058394160583941605839416058394160583941605839416058,1.4777777777777777777777777777777777777777777777777777777777777777777777777777778,-0.99558232931726907630522088353413654618473895582329317269076305220883534136546185,-0.020681265206812652068126520681265206812652068126520681265206812652068126520681265,-1.00000000000,0.96571198063735377168212989108511496571198063735377168212989108511496571198063735,AVAILABLE,239.4000000000,-247.9000000000,41.7750000000,10,4,3,2,0,2026-05,-0.37916666666666666666666666666666666666666666666666666666666666666666666666666667,-0.057377049180327868852459016393442622950819672131147540983606557377049180327868852,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,ORL5,DESCRIPTIVE_ONLY,404,404,0,0,0,0,0,3,143,143,170,27,165,239,0,0.40841584158415841584158415841584158415841584158415841584158415841584158415841584,1.4956060606060606060606060606060606060606060606060606060606060606060606060606061,-1.0000000000,0.019245049504950495049504950495049504950495049504950495049504950495049504950495050,-1.00000000000,1.0325313807531380753138075313807531380753138075313807531380753138075313807531381,AVAILABLE,246.7750000000,-239.0000000000,28.2250000000,9,5,4,0,0,2026-09,-0.3750000000,-0.0049855491329479768786127167630057803468208092485549132947976878612716763005780347,AVAILABLE,AVAILABLE,AVAILABLE
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,NATURAL,0,target_first,level_family,PDH,DESCRIPTIVE_ONLY,219,219,0,0,0,0,0,2,86,86,170,84,89,130,0,0.40639269406392694063926940639269406392694063926940639269406392694063926940639269,1.5000000000,-0.99230769230769230769230769230769230769230769230769230769230769230769230769230769,0.020547945205479452054794520547945205479452054794520547945205479452054794520547945,-1.00000000000,1.0348837209302325581395348837209302325581395348837209302325581395348837209302326,AVAILABLE,133.5000000000,-129.0000000000,19.5000000000,8,6,3,0,0,2026-01,-0.45089285714285714285714285714285714285714285714285714285714285714285714285714286,-0.044270833333333333333333333333333333333333333333333333333333333333333333333333333,AVAILABLE,AVAILABLE,AVAILABLE
