family,distance,horizon,draws,seed,contributing_sessions,resampling_sessions,undefined_draws,REJECTION_FIRST_lower_pct,REJECTION_FIRST_upper_pct,CONTINUATION_FIRST_lower_pct,CONTINUATION_FIRST_upper_pct,AMBIGUOUS_lower_pct,AMBIGUOUS_upper_pct,UNRESOLVED_lower_pct,UNRESOLVED_upper_pct,CENSORED_lower_pct,CENSORED_upper_pct
PWH,1.00,15,2000,20260907,39,170,0,6.0606060606060606060606060606060606060606060606061,21.495327102803738317757009345794392523364485981308,11.976047904191616766467065868263473053892215568862,28.409090909090909090909090909090909090909090909091,1.1627906976744186046511627906976744186046511627907,12.371134020618556701030927835051546391752577319588,43.396226415094339622641509433962264150943396226415,68.00,1.2048192771084337349397590361445783132530120481928,9.7560975609756097560975609756097560975609756097561
PWH,1.00,30,2000,20260907,39,170,0,12.711864406779661016949152542372881355932203389831,31.428571428571428571428571428571428571428571428571,15.294117647058823529411764705882352941176470588235,32.653061224489795918367346938775510204081632653061,1.1627906976744186046511627906976744186046511627907,12.371134020618556701030927835051546391752577319588,29.591836734693877551020408163265306122448979591837,55.294117647058823529411764705882352941176470588235,1.9230769230769230769230769230769230769230769230769,10.989010989010989010989010989010989010989010989011
PWL,0.25,5,2000,20260907,34,170,0,7.8947368421052631578947368421052631578947368421053,24.752475247524752475247524752475247524752475247525,2.7027027027027027027027027027027027027027027027027,15.789473684210526315789473684210526315789473684211,63.414634146341463414634146341463414634146341463415,82.539682539682539682539682539682539682539682539683,0,5.7971014492753623188405797101449275362318840579710,0,0
PWL,0.25,15,2000,20260907,34,170,0,9.4594594594594594594594594594594594594594594594595,27.450980392156862745098039215686274509803921568627,2.7027027027027027027027027027027027027027027027027,15.789473684210526315789473684210526315789473684211,63.414634146341463414634146341463414634146341463415,82.539682539682539682539682539682539682539682539683,0,0,0,0
PWL,0.25,30,2000,20260907,34,170,0,9.4594594594594594594594594594594594594594594594595,27.450980392156862745098039215686274509803921568627,2.7027027027027027027027027027027027027027027027027,15.789473684210526315789473684210526315789473684211,63.414634146341463414634146341463414634146341463415,82.539682539682539682539682539682539682539682539683,0,0,0,0
PWL,0.50,5,2000,20260907,34,170,0,11.940298507462686567164179104477611940298507462687,29.032258064516129032258064516129032258064516129032,8.8235294117647058823529411764705882352941176470588,22.641509433962264150943396226415094339622641509434,30.337078651685393258426966292134831460674157303371,54.545454545454545454545454545454545454545454545455,10.309278350515463917525773195876288659793814432990,32.857142857142857142857142857142857142857142857143,0,3.9473684210526315789473684210526315789473684210526
PWL,0.50,15,2000,20260907,34,170,0,20.930232558139534883720930232558139534883720930233,44.303797468354430379746835443037974683544303797468,14.615384615384615384615384615384615384615384615385,30.555555555555555555555555555555555555555555555556,30.337078651685393258426966292134831460674157303371,54.545454545454545454545454545454545454545454545455,0,5.7971014492753623188405797101449275362318840579710,0,3.9473684210526315789473684210526315789473684210526
PWL,0.50,30,2000,20260907,34,170,0,22.00,45.360824742268041237113402061855670103092783505155,15.294117647058823529411764705882352941176470588235,31.521739130434782608695652173913043478260869565217,30.337078651685393258426966292134831460674157303371,54.545454545454545454545454545454545454545454545455,0,0,0,3.9473684210526315789473684210526315789473684210526
PWL,1.00,5,2000,20260907,34,170,0,4.8387096774193548387096774193548387096774193548387,16.049382716049382716049382716049382716049382716049,4.2553191489361702127659574468085106382978723404255,19.480519480519480519480519480519480519480519480519,2.2471910112359550561797752808988764044943820224719,11.842105263157894736842105263157894736842105263158,60.273972602739726027397260273972602739726027397260,80.898876404494382022471910112359550561797752808989,0,3.9473684210526315789473684210526315789473684210526
PWL,1.00,15,2000,20260907,34,170,0,25.00,44.615384615384615384615384615384615384615384615385,21.428571428571428571428571428571428571428571428571,41.558441558441558441558441558441558441558441558442,2.2471910112359550561797752808988764044943820224719,11.842105263157894736842105263157894736842105263158,12.790697674418604651162790697674418604651162790698,37.804878048780487804878048780487804878048780487805,0,6.0975609756097560975609756097560975609756097560976
PWL,1.00,30,2000,20260907,34,170,0,29.230769230769230769230769230769230769230769230769,48.913043478260869565217391304347826086956521739130,28.947368421052631578947368421052631578947368421053,49.295774647887323943661971830985915492957746478873,2.2471910112359550561797752808988764044943820224719,11.842105263157894736842105263157894736842105263158,4.5454545454545454545454545454545454545454545454545,21.111111111111111111111111111111111111111111111111,0,7.8947368421052631578947368421052631578947368421053
1H_HIGH,0.25,5,2000,20260907,140,170,0,19.991212653778558875219683655536028119507908611599,23.633156966490299823633156966490299823633156966490,8.4269662921348314606741573033707865168539325842697,11.880772460117548278757346767422334172963895885810,55.316344463971880492091388400702987697715289982425,62.609736632083000798084596967278531524341580207502,6.9311246730601569311246730601569311246730601569311,11.211477151965993623804463336875664187035069075452,0,0.23094688221709006928406466512702078521939953810624
1H_HIGH,0.25,15,2000,20260907,140,170,0,23.833485818847209515096065873741994510521500457457,28.120775123929698062190175754844524560612888688598,11.720385098367517789870238593553788195897865215571,16.365280289330922242314647377938517179023508137432,55.316344463971880492091388400702987697715289982425,62.609736632083000798084596967278531524341580207502,0.43233895373973194984868136619109381755296152183312,1.5858631626642501132759401903035795197100135931128,0,0.23094688221709006928406466512702078521939953810624
1H_HIGH,0.25,30,2000,20260907,140,170,0,24.243680066307501036054703688354745130542892664733,28.768956289027653880463871543264942016057091882248,11.964285714285714285714285714285714285714285714286,16.726943942133815551537070524412296564195298372514,55.316344463971880492091388400702987697715289982425,62.609736632083000798084596967278531524341580207502,0,0.31695721077654516640253565768621236133122028526149,0,0.23094688221709006928406466512702078521939953810624
1H_HIGH,0.50,5,2000,20260907,140,170,0,17.284925019731649565903709550118389897395422257301,21.330089213300892133008921330089213300892133008921,13.705583756345177664974619289340101522842639593909,17.635506677140612725844461901021209740769835035350,23.717685679113664341403364792778005744768157570784,30.310358726320032245062474808544941555824264409512,32.788798133022170361726954492415402567094515752625,41.606591143151390319258496395468589083419155509784,0.42034468263976460697772173182009247583018074821354,1.3019739605207895842083158336833263334733305333893
1H_HIGH,0.50,15,2000,20260907,140,170,0,29.025044722719141323792486583184257602862254025045,33.227990970654627539503386004514672686230248306998,25.132978723404255319148936170212765957446808510638,30.305532617671345995045417010734929810074318744839,23.717685679113664341403364792778005744768157570784,30.310358726320032245062474808544941555824264409512,10.330912025827280064568200161420500403551251008878,15.913284132841328413284132841328413284132841328413,0.72556551429790866410584720443875373452838241570636,1.8790100824931255728689275893675527039413382218148
