family,breach_history,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
1H_HIGH,NEVER_BREACHED,1.00,30,67,110,25,27,16,36,6,22.73,24.55,14.55,32.73,5.45,8,0.525000000000,0.775000000000,0.727500000000,0.775000000000,7,28.00,4,3,180
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,0.25,5,8,11,1,2,8,0,0,9.09,18.18,72.73,0.00,0.00,1,0.279900000000,0.250000000000,0.650000000000,0.250000000000,0,0.00,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,0.25,15,8,11,1,2,8,0,0,9.09,18.18,72.73,0.00,0.00,1,0.879900000000,0.335000000000,0.879900000000,0.440000000000,0,0.00,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,0.25,30,8,11,1,2,8,0,0,9.09,18.18,72.73,0.00,0.00,1,0.880000000000,0.335000000000,0.880000000000,0.499000000000,0,0.00,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,0.50,5,8,11,3,0,5,3,0,27.27,0.00,45.45,27.27,0.00,1,0.279900000000,0.250000000000,0.650000000000,0.250000000000,0,0.00,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,0.50,15,8,11,4,1,5,1,0,36.36,9.09,45.45,9.09,0.00,1,0.879900000000,0.335000000000,0.879900000000,0.440000000000,0,0.00,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,0.50,30,8,11,4,2,5,0,0,36.36,18.18,45.45,0.00,0.00,1,0.880000000000,0.335000000000,0.880000000000,0.499000000000,0,0.00,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,1.00,5,8,11,0,1,0,9,1,0.00,9.09,0.00,81.82,9.09,1,0.279900000000,0.250000000000,0.650000000000,0.250000000000,0,,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,1.00,15,8,11,4,1,0,5,1,36.36,9.09,0.00,45.45,9.09,1,0.879900000000,0.335000000000,0.879900000000,0.440000000000,0,0.00,0,0,
1H_HIGH,PENETRATED_NO_CLOSE_THROUGH,1.00,30,8,11,5,1,0,4,1,45.45,9.09,0.00,36.36,9.09,1,0.880000000000,0.335000000000,0.880000000000,0.499000000000,0,0.00,0,0,
1H_HIGH,COMPLETED_CLOSE_THROUGH,0.25,5,134,2177,483,222,1280,190,2,22.19,10.20,58.80,8.73,0.09,45,0.313350000000,0.290000000000,0.450000000000,0.305000000000,123,25.47,123,0,120
1H_HIGH,COMPLETED_CLOSE_THROUGH,0.25,15,134,2177,570,307,1280,18,2,26.18,14.10,58.80,0.83,0.09,104,0.550000000000,0.530000000000,0.630000000000,0.540000000000,282,49.47,193,89,180
1H_HIGH,COMPLETED_CLOSE_THROUGH,0.25,30,134,2177,580,312,1280,3,2,26.64,14.33,58.80,0.14,0.09,184,0.745650000000,0.710000000000,0.800000000000,0.730000000000,376,64.83,200,176,300
1H_HIGH,COMPLETED_CLOSE_THROUGH,0.50,5,134,2177,428,350,577,803,19,19.66,16.08,26.50,36.89,0.87,45,0.313350000000,0.290000000000,0.450000000000,0.305000000000,48,11.21,48,0,120
1H_HIGH,COMPLETED_CLOSE_THROUGH,0.50,15,134,2177,688,611,577,274,27,31.60,28.07,26.50,12.59,1.24,104,0.550000000000,0.530000000000,0.630000000000,0.540000000000,220,31.98,145,75,240
1H_HIGH,COMPLETED_CLOSE_THROUGH,0.50,30,134,2177,768,691,577,111,30,35.28,31.74,26.50,5.10,1.38,184,0.745650000000,0.710000000000,0.800000000000,0.730000000000,360,46.88,161,199,360
1H_HIGH,COMPLETED_CLOSE_THROUGH,1.00,5,134,2177,192,175,113,1658,39,8.82,8.04,5.19,76.16,1.79,45,0.313350000000,0.290000000000,0.450000000000,0.305000000000,8,4.17,8,0,90
1H_HIGH,COMPLETED_CLOSE_THROUGH,1.00,15,134,2177,512,504,113,976,72,23.52,23.15,5.19,44.83,3.31,104,0.550000000000,0.530000000000,0.630000000000,0.540000000000,92,17.97,51,41,300
1H_HIGH,COMPLETED_CLOSE_THROUGH,1.00,30,134,2177,716,677,113,573,98,32.89,31.10,5.19,26.32,4.50,184,0.745650000000,0.710000000000,0.800000000000,0.730000000000,188,26.26,57,131,480
1H_HIGH,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_HIGH,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,NEVER_BREACHED,0.25,5,51,88,13,4,69,2,0,14.77,4.55,78.41,2.27,0.00,4,0.405000000000,0.405000000000,0.535000000000,0.475000000000,2,15.38,2,0,90
1H_LOW,NEVER_BREACHED,0.25,15,51,88,13,6,69,0,0,14.77,6.82,78.41,0.00,0.00,7,0.750000000000,0.780000000000,0.875000000000,0.800000000000,6,46.15,5,1,240
1H_LOW,NEVER_BREACHED,0.25,30,51,88,13,6,69,0,0,14.77,6.82,78.41,0.00,0.00,13,0.935000000000,1.005000000000,1.050000000000,1.148250000000,7,53.85,5,2,240
1H_LOW,NEVER_BREACHED,0.50,5,51,88,18,20,34,16,0,20.45,22.73,38.64,18.18,0.00,4,0.405000000000,0.405000000000,0.535000000000,0.475000000000,1,5.56,1,0,180
1H_LOW,NEVER_BREACHED,0.50,15,51,88,20,29,34,4,1,22.73,32.95,38.64,4.55,1.14,7,0.750000000000,0.780000000000,0.875000000000,0.800000000000,4,20.00,4,0,210
1H_LOW,NEVER_BREACHED,0.50,30,51,88,21,31,34,1,1,23.86,35.23,38.64,1.14,1.14,13,0.935000000000,1.005000000000,1.050000000000,1.148250000000,8,38.10,4,4,390
1H_LOW,NEVER_BREACHED,1.00,5,51,88,9,8,11,60,0,10.23,9.09,12.50,68.18,0.00,4,0.405000000000,0.405000000000,0.535000000000,0.475000000000,0,0.00,0,0,
1H_LOW,NEVER_BREACHED,1.00,15,51,88,24,25,11,27,1,27.27,28.41,12.50,30.68,1.14,7,0.750000000000,0.780000000000,0.875000000000,0.800000000000,5,20.83,2,3,420
1H_LOW,NEVER_BREACHED,1.00,30,51,88,30,33,11,12,2,34.09,37.50,12.50,13.64,2.27,13,0.935000000000,1.005000000000,1.050000000000,1.148250000000,8,26.67,3,5,390
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,0.25,5,11,11,2,2,7,0,0,18.18,18.18,63.64,0.00,0.00,0,0.290000000000,0.430000000000,0.380000000000,0.430000000000,1,50.00,1,0,60
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,0.25,15,11,11,2,2,7,0,0,18.18,18.18,63.64,0.00,0.00,1,0.610000000000,0.852400000000,0.610000000000,0.852400000000,1,50.00,1,0,60
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,0.25,30,11,11,2,2,7,0,0,18.18,18.18,63.64,0.00,0.00,2,0.610000000000,1.030000000000,0.610000000000,1.030000000000,1,50.00,1,0,60
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,0.50,5,11,11,1,0,4,6,0,9.09,0.00,36.36,54.55,0.00,0,0.290000000000,0.430000000000,0.380000000000,0.430000000000,0,0.00,0,0,
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,0.50,15,11,11,3,2,4,2,0,27.27,18.18,36.36,18.18,0.00,1,0.610000000000,0.852400000000,0.610000000000,0.852400000000,1,33.33,0,1,420
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,0.50,30,11,11,3,4,4,0,0,27.27,36.36,36.36,0.00,0.00,2,0.610000000000,1.030000000000,0.610000000000,1.030000000000,1,33.33,0,1,420
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,1.00,5,11,11,2,1,0,8,0,18.18,9.09,0.00,72.73,0.00,0,0.290000000000,0.430000000000,0.380000000000,0.430000000000,0,0.00,0,0,
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,1.00,15,11,11,2,4,0,5,0,18.18,36.36,0.00,45.45,0.00,1,0.610000000000,0.852400000000,0.610000000000,0.852400000000,1,50.00,1,0,120
1H_LOW,PENETRATED_NO_CLOSE_THROUGH,1.00,30,11,11,2,6,0,3,0,18.18,54.55,0.00,27.27,0.00,2,0.610000000000,1.030000000000,0.610000000000,1.030000000000,1,50.00,1,0,120
1H_LOW,COMPLETED_CLOSE_THROUGH,0.25,5,136,2461,463,240,1659,99,0,18.81,9.75,67.41,4.02,0.00,51,0.360000000000,0.350000000000,0.510000000000,0.370000000000,143,30.89,143,0,120
1H_LOW,COMPLETED_CLOSE_THROUGH,0.25,15,136,2461,508,284,1659,10,0,20.64,11.54,67.41,0.41,0.00,127,0.620000000000,0.640000000000,0.710000000000,0.640000000000,284,55.91,201,83,180
1H_LOW,COMPLETED_CLOSE_THROUGH,0.25,30,136,2461,513,287,1659,2,0,20.85,11.66,67.41,0.08,0.00,189,0.860000000000,0.853700000000,0.925000000000,0.860000000000,346,67.45,206,140,240
1H_LOW,COMPLETED_CLOSE_THROUGH,0.50,5,136,2461,540,426,775,702,18,21.94,17.31,31.49,28.52,0.73,51,0.360000000000,0.350000000000,0.510000000000,0.370000000000,75,13.89,75,0,60
1H_LOW,COMPLETED_CLOSE_THROUGH,0.50,15,136,2461,771,674,776,213,27,31.33,27.39,31.53,8.66,1.10,127,0.620000000000,0.640000000000,0.710000000000,0.640000000000,300,38.91,205,95,240
1H_LOW,COMPLETED_CLOSE_THROUGH,0.50,30,136,2461,849,736,776,72,28,34.50,29.91,31.53,2.93,1.14,189,0.860000000000,0.853700000000,0.925000000000,0.860000000000,433,51.00,216,217,360
1H_LOW,COMPLETED_CLOSE_THROUGH,1.00,5,136,2461,244,230,175,1776,36,9.91,9.35,7.11,72.17,1.46,51,0.360000000000,0.350000000000,0.510000000000,0.370000000000,11,4.51,11,0,120
1H_LOW,COMPLETED_CLOSE_THROUGH,1.00,15,136,2461,642,660,175,901,83,26.09,26.82,7.11,36.61,3.37,127,0.620000000000,0.640000000000,0.710000000000,0.640000000000,127,19.78,76,51,300
1H_LOW,COMPLETED_CLOSE_THROUGH,1.00,30,136,2461,877,867,175,449,93,35.64,35.23,7.11,18.24,3.78,189,0.860000000000,0.853700000000,0.925000000000,0.860000000000,254,28.96,92,162,420
1H_LOW,UNKNOWN,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
1H_LOW,UNKNOWN,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
