family,creation_first_touch,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDL,True,0.25,30,66,66,10,1,55,0,0,15.15,1.52,83.33,0.00,0.00,1,1.372500000000,0.972500000000,1.372500000000,0.972500000000,8,80.00,5,3,270
PDL,True,0.50,5,66,66,18,13,30,5,0,27.27,19.70,45.45,7.58,0.00,0,0.454950000000,0.447600000000,0.770000000000,0.471200000000,3,16.67,3,0,180
PDL,True,0.50,15,66,66,21,13,30,2,0,31.82,19.70,45.45,3.03,0.00,0,1.007500000000,0.705000000000,1.040000000000,0.705000000000,3,14.29,3,0,180
PDL,True,0.50,30,66,66,22,13,30,1,0,33.33,19.70,45.45,1.52,0.00,1,1.372500000000,0.972500000000,1.372500000000,0.972500000000,10,45.45,4,6,660
PDL,True,1.00,5,66,66,11,9,8,38,0,16.67,13.64,12.12,57.58,0.00,0,0.454950000000,0.447600000000,0.770000000000,0.471200000000,2,18.18,2,0,150
PDL,True,1.00,15,66,66,25,22,8,11,0,37.88,33.33,12.12,16.67,0.00,0,1.007500000000,0.705000000000,1.040000000000,0.705000000000,5,20.00,4,1,180
PDL,True,1.00,30,66,66,26,26,8,6,0,39.39,39.39,12.12,9.09,0.00,1,1.372500000000,0.972500000000,1.372500000000,0.972500000000,10,38.46,4,6,360
PDL,False,0.25,5,48,147,41,25,76,5,0,27.89,17.01,51.70,3.40,0.00,2,0.270000000000,0.330100000000,0.400000000000,0.340000000000,9,21.95,9,0,60
PDL,False,0.25,15,48,147,43,27,76,1,0,29.25,18.37,51.70,0.68,0.00,10,0.530000000000,0.520000000000,0.590000000000,0.520000000000,26,60.47,14,12,270
PDL,False,0.25,30,48,147,44,27,76,0,0,29.93,18.37,51.70,0.00,0.00,13,0.730000000000,0.770000000000,0.763000000000,0.790000000000,30,68.18,14,16,390
PDL,False,0.50,5,48,147,28,40,31,48,0,19.05,27.21,21.09,32.65,0.00,2,0.270000000000,0.330100000000,0.400000000000,0.340000000000,0,0.00,0,0,
PDL,False,0.50,15,48,147,49,53,31,13,1,33.33,36.05,21.09,8.84,0.68,10,0.530000000000,0.520000000000,0.590000000000,0.520000000000,15,30.61,6,9,420
PDL,False,0.50,30,48,147,53,59,31,3,1,36.05,40.14,21.09,2.04,0.68,13,0.730000000000,0.770000000000,0.763000000000,0.790000000000,23,43.40,7,16,480
PDL,False,1.00,5,48,147,12,12,6,117,0,8.16,8.16,4.08,79.59,0.00,2,0.270000000000,0.330100000000,0.400000000000,0.340000000000,0,0.00,0,0,
PDL,False,1.00,15,48,147,26,29,6,78,8,17.69,19.73,4.08,53.06,5.44,10,0.530000000000,0.520000000000,0.590000000000,0.520000000000,5,19.23,2,3,420
PDL,False,1.00,30,48,147,45,51,6,37,8,30.61,34.69,4.08,25.17,5.44,13,0.730000000000,0.770000000000,0.763000000000,0.790000000000,10,22.22,2,8,600
PDL,None,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PDL,None,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,0.25,5,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,0.710000000000,0.345000000000,0.740000000000,0.345000000000,0,0.00,0,0,
PMH,True,0.25,15,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,0.810000000000,0.410000000000,0.840000000000,0.410000000000,0,0.00,0,0,
PMH,True,0.25,30,2,2,1,0,1,0,0,50.00,0.00,50.00,0.00,0.00,0,2.410000000000,0.410000000000,2.410000000000,0.410000000000,0,0.00,0,0,
PMH,True,0.50,5,2,2,1,1,0,0,0,50.00,50.00,0.00,0.00,0.00,0,0.710000000000,0.345000000000,0.740000000000,0.345000000000,0,0.00,0,0,
PMH,True,0.50,15,2,2,1,1,0,0,0,50.00,50.00,0.00,0.00,0.00,0,0.810000000000,0.410000000000,0.840000000000,0.410000000000,0,0.00,0,0,
PMH,True,0.50,30,2,2,1,1,0,0,0,50.00,50.00,0.00,0.00,0.00,0,2.410000000000,0.410000000000,2.410000000000,0.410000000000,0,0.00,0,0,
PMH,True,1.00,5,2,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,0.710000000000,0.345000000000,0.740000000000,0.345000000000,0,0.00,0,0,
PMH,True,1.00,15,2,2,1,0,0,1,0,50.00,0.00,0.00,50.00,0.00,0,0.810000000000,0.410000000000,0.840000000000,0.410000000000,0,0.00,0,0,
PMH,True,1.00,30,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.410000000000,0.410000000000,2.410000000000,0.410000000000,0,0.00,0,0,
PMH,False,0.25,5,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,0.630000000000,0.740000000000,0.630000000000,0.740000000000,0,,0,0,
PMH,False,0.25,15,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,,0,0,
PMH,False,0.25,30,1,1,0,0,1,0,0,0.00,0.00,100.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,,0,0,
PMH,False,0.50,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.630000000000,0.740000000000,0.630000000000,0.740000000000,1,100.00,1,0,60
