family,time_of_day,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ALL,15:00-close,0.50,30,141,875,271,281,202,40,81,30.97,32.11,23.09,4.57,9.26,479,0.500000000000,0.570000000000,0.610000000000,0.600000000000,99,36.53,48,51,360
ALL,15:00-close,1.00,5,141,875,45,72,49,616,93,5.14,8.23,5.60,70.40,10.63,124,0.245000000000,0.240000000000,0.400000000000,0.270000000000,1,2.22,1,0,120
ALL,15:00-close,1.00,15,141,875,139,161,49,320,206,15.89,18.40,5.60,36.57,23.54,300,0.410700000000,0.430000000000,0.510000000000,0.450000000000,15,10.79,9,6,300
ALL,15:00-close,1.00,30,141,875,198,232,49,142,254,22.63,26.51,5.60,16.23,29.03,479,0.500000000000,0.570000000000,0.610000000000,0.600000000000,33,16.67,9,24,480
PDH,09:30-10:00,0.25,5,50,50,9,4,37,0,0,18.00,8.00,74.00,0.00,0.00,0,0.410000000000,0.502500000000,0.650100000000,0.520000000000,4,44.44,4,0,150
PDH,09:30-10:00,0.25,15,50,50,9,4,37,0,0,18.00,8.00,74.00,0.00,0.00,0,0.635100000000,0.750000000000,0.772000000000,0.755000000000,5,55.56,4,1,180
PDH,09:30-10:00,0.25,30,50,50,9,4,37,0,0,18.00,8.00,74.00,0.00,0.00,0,1.198150000000,1.075000000000,1.198150000000,1.096000000000,5,55.56,4,1,180
PDH,09:30-10:00,0.50,5,50,50,12,8,23,7,0,24.00,16.00,46.00,14.00,0.00,0,0.410000000000,0.502500000000,0.650100000000,0.520000000000,2,16.67,2,0,150
PDH,09:30-10:00,0.50,15,50,50,12,14,23,1,0,24.00,28.00,46.00,2.00,0.00,0,0.635100000000,0.750000000000,0.772000000000,0.755000000000,4,33.33,3,1,240
PDH,09:30-10:00,0.50,30,50,50,13,14,23,0,0,26.00,28.00,46.00,0.00,0.00,0,1.198150000000,1.075000000000,1.198150000000,1.096000000000,4,30.77,3,1,240
PDH,09:30-10:00,1.00,5,50,50,5,7,4,34,0,10.00,14.00,8.00,68.00,0.00,0,0.410000000000,0.502500000000,0.650100000000,0.520000000000,1,20.00,1,0,120
