family,confluence,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PMH,1,1.00,30,2,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.160000000000,0.740000000000,2.160000000000,0.740000000000,0,0.00,0,0,
PMH,2,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,2,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,3+,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,1,0.25,5,2,8,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00,0,0.350000000000,0.280000000000,0.660000000000,0.315000000000,0,0.00,0,0,
PML,1,0.25,15,2,8,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00,0,0.526250000000,0.470000000000,0.741250000000,0.470000000000,0,0.00,0,0,
PML,1,0.25,30,2,8,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00,1,0.925000000000,1.192500000000,1.105000000000,1.192500000000,1,50.00,0,1,1620
PML,1,0.50,5,2,8,0,1,4,3,0,0.00,12.50,50.00,37.50,0.00,0,0.350000000000,0.280000000000,0.660000000000,0.315000000000,0,,0,0,
PML,1,0.50,15,2,8,1,2,4,1,0,12.50,25.00,50.00,12.50,0.00,0,0.526250000000,0.470000000000,0.741250000000,0.470000000000,1,100.00,1,0,180
PML,1,0.50,30,2,8,2,2,4,0,0,25.00,25.00,50.00,0.00,0.00,1,0.925000000000,1.192500000000,1.105000000000,1.192500000000,1,50.00,1,0,180
PML,1,1.00,5,2,8,2,0,1,5,0,25.00,0.00,12.50,62.50,0.00,0,0.350000000000,0.280000000000,0.660000000000,0.315000000000,0,0.00,0,0,
PML,1,1.00,15,2,8,2,1,1,4,0,25.00,12.50,12.50,50.00,0.00,0,0.526250000000,0.470000000000,0.741250000000,0.470000000000,1,50.00,1,0,240
PML,1,1.00,30,2,8,3,2,1,2,0,37.50,25.00,12.50,25.00,0.00,1,0.925000000000,1.192500000000,1.105000000000,1.192500000000,2,66.67,1,1,690
PML,2,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,2,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,3+,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,1,0.25,5,152,435,84,52,271,28,0,19.31,11.95,62.30,6.44,0.00,8,0.300000000000,0.300000000000,0.440000000000,0.310000000000,24,28.57,24,0,120
ORH5,1,0.25,15,152,435,98,64,271,2,0,22.53,14.71,62.30,0.46,0.00,15,0.560000000000,0.558500000000,0.660000000000,0.560000000000,53,54.08,34,19,180
ORH5,1,0.25,30,152,435,99,65,271,0,0,22.76,14.94,62.30,0.00,0.00,20,0.790000000000,0.730000000000,0.840000000000,0.745000000000,68,68.69,35,33,240
ORH5,1,0.50,5,152,435,94,82,100,157,2,21.61,18.85,22.99,36.09,0.46,8,0.300000000000,0.300000000000,0.440000000000,0.310000000000,11,11.70,11,0,60
ORH5,1,0.50,15,152,435,143,142,100,45,5,32.87,32.64,22.99,10.34,1.15,15,0.560000000000,0.558500000000,0.660000000000,0.560000000000,55,38.46,32,23,300
ORH5,1,0.50,30,152,435,154,161,100,14,6,35.40,37.01,22.99,3.22,1.38,20,0.790000000000,0.730000000000,0.840000000000,0.745000000000,88,57.14,33,55,480
ORH5,1,1.00,5,152,435,41,34,16,338,6,9.43,7.82,3.68,77.70,1.38,8,0.300000000000,0.300000000000,0.440000000000,0.310000000000,1,2.44,1,0,60
ORH5,1,1.00,15,152,435,104,94,16,210,11,23.91,21.61,3.68,48.28,2.53,15,0.560000000000,0.558500000000,0.660000000000,0.560000000000,21,20.19,8,13,420
ORH5,1,1.00,30,152,435,152,142,16,110,15,34.94,32.64,3.68,25.29,3.45,20,0.790000000000,0.730000000000,0.840000000000,0.745000000000,51,33.55,14,37,540
ORH5,2,0.25,5,2,4,1,1,1,1,0,25.00,25.00,25.00,25.00,0.00,0,0.165000000000,0.215000000000,0.230500000000,0.215000000000,0,0.00,0,0,
ORH5,2,0.25,15,2,4,2,1,1,0,0,50.00,25.00,25.00,0.00,0.00,0,0.410000000000,0.355000000000,0.410000000000,0.355000000000,0,0.00,0,0,
ORH5,2,0.25,30,2,4,2,1,1,0,0,50.00,25.00,25.00,0.00,0.00,0,0.871000000000,0.375000000000,0.871000000000,0.375000000000,1,50.00,0,1,1440
ORH5,2,0.50,5,2,4,0,1,0,3,0,0.00,25.00,0.00,75.00,0.00,0,0.165000000000,0.215000000000,0.230500000000,0.215000000000,0,,0,0,
ORH5,2,0.50,15,2,4,2,2,0,0,0,50.00,50.00,0.00,0.00,0.00,0,0.410000000000,0.355000000000,0.410000000000,0.355000000000,0,0.00,0,0,
ORH5,2,0.50,30,2,4,2,2,0,0,0,50.00,50.00,0.00,0.00,0.00,0,0.871000000000,0.375000000000,0.871000000000,0.375000000000,1,50.00,0,1,840
ORH5,2,1.00,5,2,4,0,0,0,4,0,0.00,0.00,0.00,100.00,0.00,0,0.165000000000,0.215000000000,0.230500000000,0.215000000000,0,,0,0,
ORH5,2,1.00,15,2,4,0,1,0,3,0,0.00,25.00,0.00,75.00,0.00,0,0.410000000000,0.355000000000,0.410000000000,0.355000000000,0,,0,0,
ORH5,2,1.00,30,2,4,2,1,0,1,0,50.00,25.00,0.00,25.00,0.00,0,0.871000000000,0.375000000000,0.871000000000,0.375000000000,0,0.00,0,0,
ORH5,3+,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,3+,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,3+,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORH5,3+,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
