family,one_retest_rejection,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDL,True,1.00,15,5,5,5,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.220000000000,0.260000000000,2.220000000000,0.260000000000,0,0.00,0,0,
PDL,True,1.00,30,9,9,9,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.270000000000,0.270000000000,2.270000000000,0.270000000000,0,0.00,0,0,
PDL,False,0.25,5,66,213,51,26,131,5,0,23.94,12.21,61.50,2.35,0.00,2,0.340000000000,0.380000000000,0.485000000000,0.400000000000,12,23.53,12,0,60
PDL,False,0.25,15,66,213,53,28,131,1,0,24.88,13.15,61.50,0.47,0.00,10,0.575000000000,0.530000000000,0.709900000000,0.560000000000,32,60.38,19,13,240
PDL,False,0.25,30,66,213,54,28,131,0,0,25.35,13.15,61.50,0.00,0.00,14,0.810000000000,0.790000000000,0.870000000000,0.790000000000,38,70.37,19,19,330
PDL,False,0.50,5,66,210,43,53,61,53,0,20.48,25.24,29.05,25.24,0.00,2,0.330000000000,0.392500000000,0.480000000000,0.415000000000,3,6.98,3,0,180
PDL,False,0.50,15,66,205,62,66,61,15,1,30.24,32.20,29.76,7.32,0.49,10,0.550000000000,0.585000000000,0.709900000000,0.610000000000,16,25.81,9,7,300
PDL,False,0.50,30,66,205,67,72,61,4,1,32.68,35.12,29.76,1.95,0.49,14,0.800000000000,0.810000000000,0.860000000000,0.815000000000,29,43.28,11,18,480
PDL,False,1.00,5,66,213,23,21,14,155,0,10.80,9.86,6.57,72.77,0.00,2,0.340000000000,0.380000000000,0.485000000000,0.400000000000,2,8.70,2,0,150
PDL,False,1.00,15,66,208,46,51,14,89,8,22.12,24.52,6.73,42.79,3.85,10,0.555000000000,0.560000000000,0.665000000000,0.572500000000,10,21.74,6,4,240
PDL,False,1.00,30,66,204,62,77,14,43,8,30.39,37.75,6.86,21.08,3.92,14,0.790000000000,0.827500000000,0.830000000000,0.842500000000,20,32.26,6,14,510
PMH,True,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,True,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PMH,False,0.25,5,2,3,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00,0,0.630000000000,0.690000000000,0.630000000000,0.690000000000,0,0.00,0,0,
PMH,False,0.25,15,2,3,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,0.00,0,0,
PMH,False,0.25,30,2,3,1,0,2,0,0,33.33,0.00,66.67,0.00,0.00,0,2.160000000000,0.740000000000,2.160000000000,0.740000000000,0,0.00,0,0,
PMH,False,0.50,5,2,3,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00,0,0.630000000000,0.690000000000,0.630000000000,0.690000000000,1,50.00,1,0,60
PMH,False,0.50,15,2,3,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,1,50.00,1,0,60
PMH,False,0.50,30,2,3,2,1,0,0,0,66.67,33.33,0.00,0.00,0.00,0,2.160000000000,0.740000000000,2.160000000000,0.740000000000,1,50.00,1,0,60
PMH,False,1.00,5,2,3,1,0,0,2,0,33.33,0.00,0.00,66.67,0.00,0,0.630000000000,0.690000000000,0.630000000000,0.690000000000,0,0.00,0,0,
PMH,False,1.00,15,2,3,2,0,0,1,0,66.67,0.00,0.00,33.33,0.00,0,1.200000000000,0.740000000000,1.200000000000,0.740000000000,0,0.00,0,0,
PMH,False,1.00,30,2,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.160000000000,0.740000000000,2.160000000000,0.740000000000,0,0.00,0,0,
PML,True,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,True,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PML,False,0.25,5,2,8,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00,0,0.350000000000,0.280000000000,0.660000000000,0.315000000000,0,0.00,0,0,
PML,False,0.25,15,2,8,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00,0,0.526250000000,0.470000000000,0.741250000000,0.470000000000,0,0.00,0,0,
PML,False,0.25,30,2,8,2,1,5,0,0,25.00,12.50,62.50,0.00,0.00,1,0.925000000000,1.192500000000,1.105000000000,1.192500000000,1,50.00,0,1,1620
PML,False,0.50,5,2,8,0,1,4,3,0,0.00,12.50,50.00,37.50,0.00,0,0.350000000000,0.280000000000,0.660000000000,0.315000000000,0,,0,0,
PML,False,0.50,15,2,8,1,2,4,1,0,12.50,25.00,50.00,12.50,0.00,0,0.526250000000,0.470000000000,0.741250000000,0.470000000000,1,100.00,1,0,180
PML,False,0.50,30,2,8,2,2,4,0,0,25.00,25.00,50.00,0.00,0.00,1,0.925000000000,1.192500000000,1.105000000000,1.192500000000,1,50.00,1,0,180
PML,False,1.00,5,2,8,2,0,1,5,0,25.00,0.00,12.50,62.50,0.00,0,0.350000000000,0.280000000000,0.660000000000,0.315000000000,0,0.00,0,0,
PML,False,1.00,15,2,8,2,1,1,4,0,25.00,12.50,12.50,50.00,0.00,0,0.526250000000,0.470000000000,0.741250000000,0.470000000000,1,50.00,1,0,240
PML,False,1.00,30,2,8,3,2,1,2,0,37.50,25.00,12.50,25.00,0.00,1,0.925000000000,1.192500000000,1.105000000000,1.192500000000,2,66.67,1,1,690
ORH5,True,0.25,5,1,1,1,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.470000000000,0.010000000000,1.470000000000,0.090000000000,0,0.00,0,0,
ORH5,True,0.25,15,6,6,6,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.464500000000,0.165000000000,0.464500000000,0.165000000000,0,0.00,0,0,
ORH5,True,0.25,30,6,6,6,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.657500000000,0.207000000000,0.657500000000,0.207000000000,4,66.67,0,4,780
ORH5,True,0.50,5,4,4,4,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.920000000000,0.035000000000,0.920000000000,0.075000000000,0,0.00,0,0,
ORH5,True,0.50,15,17,17,17,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.940000000000,0.170000000000,0.940000000000,0.199000000000,5,29.41,5,0,180
ORH5,True,0.50,30,20,21,21,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,1.075000000000,0.320000000000,1.075000000000,0.320000000000,10,47.62,6,4,240
ORH5,True,1.00,5,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.400000000000,0.135000000000,1.400000000000,0.175000000000,0,0.00,0,0,
ORH5,True,1.00,15,17,17,17,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,1.370000000000,0.340000000000,1.370000000000,0.340000000000,1,5.88,1,0,240
ORH5,True,1.00,30,31,35,35,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.470000000000,0.380000000000,1.470000000000,0.380000000000,6,17.14,2,4,510
ORH5,False,0.25,5,154,438,84,53,272,29,0,19.18,12.10,62.10,6.62,0.00,8,0.297500000000,0.300000000000,0.440000000000,0.310000000000,24,28.57,24,0,120
ORH5,False,0.25,15,154,433,94,65,272,2,0,21.71,15.01,62.82,0.46,0.00,15,0.560000000000,0.560000000000,0.650000000000,0.560000000000,53,56.38,34,19,180
ORH5,False,0.25,30,154,433,95,66,272,0,0,21.94,15.24,62.82,0.00,0.00,20,0.790000000000,0.745000000000,0.840000000000,0.750000000000,65,68.42,35,30,240
ORH5,False,0.50,5,154,435,90,83,100,160,2,20.69,19.08,22.99,36.78,0.46,7,0.295000000000,0.300000000000,0.430000000000,0.310000000000,11,12.22,11,0,60
ORH5,False,0.50,15,153,422,128,144,100,45,5,30.33,34.12,23.70,10.66,1.18,14,0.530000000000,0.560000000000,0.650000000000,0.567500000000,50,39.06,27,23,300
ORH5,False,0.50,30,153,418,135,163,100,14,6,32.30,39.00,23.92,3.35,1.44,19,0.770000000000,0.750000000000,0.840000000000,0.777500000000,79,58.52,27,52,540
ORH5,False,1.00,5,154,437,39,34,16,342,6,8.92,7.78,3.66,78.26,1.37,8,0.295000000000,0.300000000000,0.440000000000,0.310000000000,1,2.56,1,0,60
ORH5,False,1.00,15,151,422,87,95,16,213,11,20.62,22.51,3.79,50.47,2.61,14,0.530000000000,0.560000000000,0.635000000000,0.567500000000,20,22.99,7,13,420
ORH5,False,1.00,30,149,404,119,143,16,111,15,29.46,35.40,3.96,27.48,3.71,18,0.730000000000,0.820000000000,0.775000000000,0.822500000000,45,37.82,12,33,540
ORL5,True,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,True,0.25,15,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.515000000000,0.135000000000,0.515000000000,0.135000000000,0,0.00,0,0,
ORL5,True,0.25,30,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.885000000000,0.135000000000,0.885000000000,0.135000000000,0,0.00,0,0,
ORL5,True,0.50,5,4,4,4,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.690000000000,0.059850000000,0.690000000000,0.094850000000,0,0.00,0,0,
ORL5,True,0.50,15,18,19,19,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.967600000000,0.220000000000,0.967600000000,0.220000000000,6,31.58,3,3,330
ORL5,True,0.50,30,21,22,22,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.125000000000,0.255000000000,1.125000000000,0.255000000000,8,36.36,3,5,390
ORL5,True,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,True,1.00,15,24,24,24,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.340000000000,0.361250000000,1.340000000000,0.361250000000,3,12.50,3,0,120
ORL5,True,1.00,30,37,40,40,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.435000000000,0.430000000000,1.435000000000,0.430000000000,12,30.00,4,8,450
ORL5,False,0.25,5,145,422,94,29,268,31,0,22.27,6.87,63.51,7.35,0.00,5,0.376050000000,0.270000000000,0.485000000000,0.290000000000,27,28.72,27,0,120
ORL5,False,0.25,15,145,420,101,49,268,2,0,24.05,11.67,63.81,0.48,0.00,11,0.635000000000,0.530000000000,0.700000000000,0.550000000000,51,50.50,37,14,180
ORL5,False,0.25,30,145,420,102,49,268,1,0,24.29,11.67,63.81,0.24,0.00,18,0.795000000000,0.745000000000,0.825000000000,0.751050000000,61,59.80,37,24,240
ORL5,False,0.50,5,145,418,96,59,112,148,3,22.97,14.11,26.79,35.41,0.72,5,0.370000000000,0.270000000000,0.483700000000,0.290000000000,20,20.83,20,0,120
ORL5,False,0.50,15,142,403,130,114,113,42,4,32.26,28.29,28.04,10.42,0.99,11,0.606900000000,0.569900000000,0.680000000000,0.570000000000,49,37.69,36,13,240
ORL5,False,0.50,30,141,400,138,131,113,14,4,34.50,32.75,28.25,3.50,1.00,18,0.765000000000,0.751050000000,0.800000000000,0.775000000000,67,48.55,39,28,300
ORL5,False,1.00,5,145,422,38,34,23,323,4,9.00,8.06,5.45,76.54,0.95,5,0.376050000000,0.270000000000,0.485000000000,0.290000000000,4,10.53,4,0,150
ORL5,False,1.00,15,143,398,92,107,23,167,9,23.12,26.88,5.78,41.96,2.26,11,0.586750000000,0.569550000000,0.675000000000,0.570000000000,8,8.70,6,2,180
ORL5,False,1.00,30,139,382,104,135,23,107,13,27.23,35.34,6.02,28.01,3.40,18,0.729000000000,0.770000000000,0.765000000000,0.790000000000,21,20.19,8,13,480
PWH,True,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,True,0.25,15,3,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.320000000000,0.159900000000,0.320000000000,0.159900000000,0,0.00,0,0,
PWH,True,0.25,30,3,3,3,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.589900000000,0.159900000000,0.589900000000,0.159900000000,1,33.33,0,1,900
PWH,True,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,True,0.50,15,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.805000000000,0.280000000000,0.805000000000,0.285000000000,0,0.00,0,0,
PWH,True,0.50,30,6,6,6,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.835000000000,0.185000000000,0.835000000000,0.190000000000,1,16.67,1,0,240
PWH,True,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
