family,rejection_path,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDH,NO_CONFIRMED_REJECTION,1.00,5,84,219,0,17,19,181,2,0.00,7.76,8.68,82.65,0.91,2,0.250000000000,0.340000000000,0.410000000000,0.340000000000,0,,0,0,
PDH,NO_CONFIRMED_REJECTION,1.00,15,77,191,0,51,19,113,8,0.00,26.70,9.95,59.16,4.19,9,0.330000000000,0.620000000000,0.455000000000,0.620000000000,0,,0,0,
PDH,NO_CONFIRMED_REJECTION,1.00,30,75,167,0,74,19,65,9,0.00,44.31,11.38,38.92,5.39,12,0.390000000000,1.060000000000,0.500000000000,1.060000000000,0,,0,0,
PDL,IMMEDIATE_SINGLE_TOUCH,0.25,5,21,25,25,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.040000000000,0,1.040000000000,0.060000000000,7,28.00,7,0,60
PDL,IMMEDIATE_SINGLE_TOUCH,0.25,15,21,25,25,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.320000000000,0.050000000000,1.400100000000,0.110000000000,13,52.00,9,4,120
PDL,IMMEDIATE_SINGLE_TOUCH,0.25,30,21,25,25,0,0,0,0,100.00,0.00,0.00,0.00,0.00,2,1.400000000000,0.560000000000,1.400100000000,0.560000000000,16,64.00,9,7,300
PDL,IMMEDIATE_SINGLE_TOUCH,0.50,5,7,7,7,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.480000000000,0,1.480000000000,0.060000000000,0,0.00,0,0,
PDL,IMMEDIATE_SINGLE_TOUCH,0.50,15,7,7,7,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,1.910000000000,0,1.910000000000,0.060000000000,1,14.29,0,1,720
PDL,IMMEDIATE_SINGLE_TOUCH,0.50,30,7,7,7,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.080000000000,0,2.080000000000,0.060000000000,2,28.57,0,2,1080
PDL,IMMEDIATE_SINGLE_TOUCH,1.00,5,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.520000000000,0,2.520000000000,0.060000000000,0,0.00,0,0,
PDL,IMMEDIATE_SINGLE_TOUCH,1.00,15,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,2.575000000000,0,2.575000000000,0.060000000000,0,0.00,0,0,
PDL,IMMEDIATE_SINGLE_TOUCH,1.00,30,2,2,2,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0,3.015000000000,1.195000000000,3.015000000000,1.225000000000,1,50.00,0,1,1440
PDL,SINGLE_TOUCH_LATER,0.25,5,19,26,26,0,0,0,0,100.00,0.00,0.00,0.00,0.00,1,0.472500000000,0.110000000000,0.472500000000,0.135000000000,5,19.23,5,0,60
PDL,SINGLE_TOUCH_LATER,0.25,15,19,27,27,0,0,0,0,100.00,0.00,0.00,0.00,0.00,3,0.550000000000,0.200000000000,0.550000000000,0.240000000000,18,66.67,9,9,300
PDL,SINGLE_TOUCH_LATER,0.25,30,19,28,28,0,0,0,0,100.00,0.00,0.00,0.00,0.00,3,0.600050000000,0.340000000000,0.600050000000,0.340000000000,21,75.00,9,12,420
