family,month,validated_sessions,partial_month,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
1H_LOW,2026-05,20,False,0.50,30,7,29,12,7,9,1,0,41.38,24.14,31.03,3.45,0.00,2,1.315000000000,0.635000000000,1.315000000000,0.635000000000,4,33.33,2,2,330
1H_LOW,2026-05,20,False,1.00,5,7,29,3,4,2,20,0,10.34,13.79,6.90,68.97,0.00,0,0.420000000000,0.310000000000,0.610000000000,0.375000000000,0,0.00,0,0,
1H_LOW,2026-05,20,False,1.00,15,7,29,12,6,2,8,1,41.38,20.69,6.90,27.59,3.45,1,0.815000000000,0.530000000000,0.940000000000,0.530000000000,1,8.33,1,0,300
1H_LOW,2026-05,20,False,1.00,30,7,29,16,9,2,1,1,55.17,31.03,6.90,3.45,3.45,2,1.315000000000,0.635000000000,1.315000000000,0.635000000000,2,12.50,1,1,690
1H_LOW,2026-06,21,False,0.25,5,18,271,57,12,199,3,0,21.03,4.43,73.43,1.11,0.00,17,0.450000000000,0.420000000000,0.670000000000,0.430000000000,14,24.56,14,0,120
1H_LOW,2026-06,21,False,0.25,15,18,271,58,13,199,1,0,21.40,4.80,73.43,0.37,0.00,24,0.840000000000,0.770000000000,0.985000000000,0.800000000000,33,56.90,19,14,300
1H_LOW,2026-06,21,False,0.25,30,18,271,58,13,199,1,0,21.40,4.80,73.43,0.37,0.00,29,1.160000000000,1.095000000000,1.290000000000,1.200000000000,41,70.69,19,22,360
1H_LOW,2026-06,21,False,0.50,5,18,271,55,40,133,42,1,20.30,14.76,49.08,15.50,0.37,17,0.450000000000,0.420000000000,0.670000000000,0.430000000000,6,10.91,6,0,60
1H_LOW,2026-06,21,False,0.50,15,18,271,74,56,133,7,1,27.31,20.66,49.08,2.58,0.37,24,0.840000000000,0.770000000000,0.985000000000,0.800000000000,36,48.65,29,7,240
1H_LOW,2026-06,21,False,0.50,30,18,271,78,58,133,1,1,28.78,21.40,49.08,0.37,0.37,29,1.160000000000,1.095000000000,1.290000000000,1.200000000000,45,57.69,29,16,300
1H_LOW,2026-06,21,False,1.00,5,18,271,40,39,41,148,3,14.76,14.39,15.13,54.61,1.11,17,0.450000000000,0.420000000000,0.670000000000,0.430000000000,0,0.00,0,0,
1H_LOW,2026-06,21,False,1.00,15,18,271,80,84,41,63,3,29.52,31.00,15.13,23.25,1.11,24,0.840000000000,0.770000000000,0.985000000000,0.800000000000,15,18.75,9,6,300
1H_LOW,2026-06,21,False,1.00,30,18,271,102,104,41,21,3,37.64,38.38,15.13,7.75,1.11,29,1.160000000000,1.095000000000,1.290000000000,1.200000000000,35,34.31,10,25,480
1H_LOW,2026-07,22,False,0.25,5,22,476,94,55,302,25,0,19.75,11.55,63.45,5.25,0.00,15,0.330000000000,0.309650000000,0.470000000000,0.320000000000,26,27.66,26,0,120
1H_LOW,2026-07,22,False,0.25,15,22,476,107,61,302,6,0,22.48,12.82,63.45,1.26,0.00,34,0.530000000000,0.623500000000,0.640000000000,0.630000000000,65,60.75,45,20,240
1H_LOW,2026-07,22,False,0.25,30,22,476,111,62,302,1,0,23.32,13.03,63.45,0.21,0.00,50,0.710000000000,0.845000000000,0.769950000000,0.845000000000,76,68.47,47,29,240
1H_LOW,2026-07,22,False,0.50,5,22,476,110,77,121,161,7,23.11,16.18,25.42,33.82,1.47,15,0.330000000000,0.309650000000,0.470000000000,0.320000000000,11,10.00,11,0,120
1H_LOW,2026-07,22,False,0.50,15,22,476,162,134,121,51,8,34.03,28.15,25.42,10.71,1.68,34,0.530000000000,0.623500000000,0.640000000000,0.630000000000,80,49.38,53,27,240
1H_LOW,2026-07,22,False,0.50,30,22,476,172,147,121,28,8,36.13,30.88,25.42,5.88,1.68,50,0.710000000000,0.845000000000,0.769950000000,0.845000000000,99,57.56,55,44,300
1H_LOW,2026-07,22,False,1.00,5,22,476,30,42,25,366,13,6.30,8.82,5.25,76.89,2.73,15,0.330000000000,0.309650000000,0.470000000000,0.320000000000,0,0.00,0,0,
1H_LOW,2026-07,22,False,1.00,15,22,476,92,127,25,206,26,19.33,26.68,5.25,43.28,5.46,34,0.530000000000,0.623500000000,0.640000000000,0.630000000000,20,21.74,9,11,360
1H_LOW,2026-07,22,False,1.00,30,22,476,145,173,25,106,27,30.46,36.34,5.25,22.27,5.67,50,0.710000000000,0.845000000000,0.769950000000,0.845000000000,37,25.52,14,23,420
1H_LOW,2026-08,21,False,0.25,5,16,103,29,12,47,15,0,28.16,11.65,45.63,14.56,0.00,1,0.355000000000,0.207500000000,0.445000000000,0.230000000000,7,24.14,7,0,120
1H_LOW,2026-08,21,False,0.25,15,16,103,35,21,47,0,0,33.98,20.39,45.63,0.00,0.00,10,0.570000000000,0.385000000000,0.595000000000,0.390000000000,17,48.57,14,3,180
1H_LOW,2026-08,21,False,0.25,30,16,103,35,21,47,0,0,33.98,20.39,45.63,0.00,0.00,12,0.715000000000,0.505000000000,0.745000000000,0.505000000000,22,62.86,14,8,240
1H_LOW,2026-08,21,False,0.50,5,16,103,25,7,23,48,0,24.27,6.80,22.33,46.60,0.00,1,0.355000000000,0.207500000000,0.445000000000,0.230000000000,3,12.00,3,0,60
1H_LOW,2026-08,21,False,0.50,15,16,103,37,18,24,22,2,35.92,17.48,23.30,21.36,1.94,10,0.570000000000,0.385000000000,0.595000000000,0.390000000000,12,32.43,8,4,210
1H_LOW,2026-08,21,False,0.50,30,16,103,44,25,24,8,2,42.72,24.27,23.30,7.77,1.94,12,0.715000000000,0.505000000000,0.745000000000,0.505000000000,19,43.18,8,11,420
1H_LOW,2026-08,21,False,1.00,5,16,103,7,2,4,90,0,6.80,1.94,3.88,87.38,0.00,1,0.355000000000,0.207500000000,0.445000000000,0.230000000000,1,14.29,1,0,180
1H_LOW,2026-08,21,False,1.00,15,16,103,20,8,4,62,9,19.42,7.77,3.88,60.19,8.74,10,0.570000000000,0.385000000000,0.595000000000,0.390000000000,4,20.00,2,2,300
1H_LOW,2026-08,21,False,1.00,30,16,103,34,17,4,39,9,33.01,16.50,3.88,37.86,8.74,12,0.715000000000,0.505000000000,0.745000000000,0.505000000000,4,11.76,2,2,300
1H_LOW,2026-09,4,True,0.25,5,4,62,11,17,28,6,0,17.74,27.42,45.16,9.68,0.00,0,0.153850000000,0.314950000000,0.290000000000,0.328750000000,3,27.27,3,0,60
1H_LOW,2026-09,4,True,0.25,15,4,62,14,19,28,1,0,22.58,30.65,45.16,1.61,0.00,0,0.229950000000,0.580000000000,0.300000000000,0.580000000000,8,57.14,6,2,180
1H_LOW,2026-09,4,True,0.25,30,4,62,14,20,28,0,0,22.58,32.26,45.16,0.00,0.00,2,0.295000000000,0.735000000000,0.362500000000,0.735000000000,9,64.29,6,3,180
1H_LOW,2026-09,4,True,0.50,5,4,62,4,15,4,39,0,6.45,24.19,6.45,62.90,0.00,0,0.153850000000,0.314950000000,0.290000000000,0.328750000000,0,0.00,0,0,
1H_LOW,2026-09,4,True,0.50,15,4,62,10,31,4,17,0,16.13,50.00,6.45,27.42,0.00,0,0.229950000000,0.580000000000,0.300000000000,0.580000000000,1,10.00,0,1,720
1H_LOW,2026-09,4,True,0.50,30,4,62,20,32,4,6,0,32.26,51.61,6.45,9.68,0.00,2,0.295000000000,0.735000000000,0.362500000000,0.735000000000,8,40.00,2,6,690
1H_LOW,2026-09,4,True,1.00,5,4,62,0,1,2,59,0,0.00,1.61,3.23,95.16,0.00,0,0.153850000000,0.314950000000,0.290000000000,0.328750000000,0,,0,0,
1H_LOW,2026-09,4,True,1.00,15,4,62,1,15,2,44,0,1.61,24.19,3.23,70.97,0.00,0,0.229950000000,0.580000000000,0.300000000000,0.580000000000,0,0.00,0,0,
1H_LOW,2026-09,4,True,1.00,30,4,62,5,21,2,32,2,8.06,33.87,3.23,51.61,3.23,2,0.295000000000,0.735000000000,0.362500000000,0.735000000000,0,0.00,0,0,
