family,distance,horizon,touch_minutes,touch_runs,episodes,levels_touched,sessions_touched,available_level_instances,available_sessions,available_level_minutes,unavailable_sessions,censored,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct
ORH5,0.25,30,3087,1318,439,154,154,170,170,65450,0,20,101,66,272,0,0,23.01,15.03,61.96,0.00,0.00
ORH5,0.50,5,3087,1318,439,154,154,170,170,65450,0,8,94,83,100,160,2,21.41,18.91,22.78,36.45,0.46
ORH5,0.50,15,3087,1318,439,154,154,170,170,65450,0,15,145,144,100,45,5,33.03,32.80,22.78,10.25,1.14
ORH5,0.50,30,3087,1318,439,154,154,170,170,65450,0,20,156,163,100,14,6,35.54,37.13,22.78,3.19,1.37
ORH5,1.00,5,3087,1318,439,154,154,170,170,65450,0,8,41,34,16,342,6,9.34,7.74,3.64,77.90,1.37
ORH5,1.00,15,3087,1318,439,154,154,170,170,65450,0,15,104,95,16,213,11,23.69,21.64,3.64,48.52,2.51
ORH5,1.00,30,3087,1318,439,154,154,170,170,65450,0,20,154,143,16,111,15,35.08,32.57,3.64,25.28,3.42
ORL5,0.25,5,2727,1180,422,145,145,170,170,65450,0,5,94,29,268,31,0,22.27,6.87,63.51,7.35,0.00
ORL5,0.25,15,2727,1180,422,145,145,170,170,65450,0,11,103,49,268,2,0,24.41,11.61,63.51,0.47,0.00
ORL5,0.25,30,2727,1180,422,145,145,170,170,65450,0,18,104,49,268,1,0,24.64,11.61,63.51,0.24,0.00
ORL5,0.50,5,2727,1180,422,145,145,170,170,65450,0,5,100,59,112,148,3,23.70,13.98,26.54,35.07,0.71
ORL5,0.50,15,2727,1180,422,145,145,170,170,65450,0,11,149,114,113,42,4,35.31,27.01,26.78,9.95,0.95
ORL5,0.50,30,2727,1180,422,145,145,170,170,65450,0,18,160,131,113,14,4,37.91,31.04,26.78,3.32,0.95
ORL5,1.00,5,2727,1180,422,145,145,170,170,65450,0,5,38,34,23,323,4,9.00,8.06,5.45,76.54,0.95
ORL5,1.00,15,2727,1180,422,145,145,170,170,65450,0,11,116,107,23,167,9,27.49,25.36,5.45,39.57,2.13
ORL5,1.00,30,2727,1180,422,145,145,170,170,65450,0,18,144,135,23,107,13,34.12,31.99,5.45,25.36,3.08
PWH,0.25,5,647,280,104,19,39,36,170,66300,0,3,20,12,55,16,1,19.23,11.54,52.88,15.38,0.96
PWH,0.25,15,647,280,104,19,39,36,170,66300,0,5,29,17,55,2,1,27.88,16.35,52.88,1.92,0.96
PWH,0.25,30,647,280,104,19,39,36,170,66300,0,10,29,17,55,2,1,27.88,16.35,52.88,1.92,0.96
PWH,0.50,5,647,280,104,19,39,36,170,66300,0,3,17,11,23,50,3,16.35,10.58,22.12,48.08,2.88
PWH,0.50,15,647,280,104,19,39,36,170,66300,0,5,28,25,23,25,3,26.92,24.04,22.12,24.04,2.88
PWH,0.50,30,647,280,104,19,39,36,170,66300,0,10,34,32,23,11,4,32.69,30.77,22.12,10.58,3.85
PWH,1.00,5,647,280,104,19,39,36,170,66300,0,3,3,6,6,86,3,2.88,5.77,5.77,82.69,2.88
PWH,1.00,15,647,280,104,19,39,36,170,66300,0,5,14,20,6,59,5,13.46,19.23,5.77,56.73,4.81
PWH,1.00,30,647,280,104,19,39,36,170,66300,0,10,23,24,6,45,6,22.12,23.08,5.77,43.27,5.77
PWL,0.25,5,613,253,90,17,34,36,170,66300,0,1,14,8,66,2,0,15.56,8.89,73.33,2.22,0.00
