family,history_complete,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
ORL5,True,0.50,15,145,422,149,114,113,42,4,35.31,27.01,26.78,9.95,0.95,11,0.635000000000,0.525000000000,0.700000000000,0.545000000000,55,36.91,39,16,240
ORL5,True,0.50,30,145,422,160,131,113,14,4,37.91,31.04,26.78,3.32,0.95,18,0.795000000000,0.738800000000,0.825000000000,0.750000000000,75,46.88,42,33,300
ORL5,True,1.00,5,145,422,38,34,23,323,4,9.00,8.06,5.45,76.54,0.95,5,0.376050000000,0.270000000000,0.485000000000,0.290000000000,4,10.53,4,0,150
ORL5,True,1.00,15,145,422,116,107,23,167,9,27.49,25.36,5.45,39.57,2.13,11,0.635000000000,0.525000000000,0.700000000000,0.545000000000,11,9.48,9,2,180
ORL5,True,1.00,30,145,422,144,135,23,107,13,34.12,31.99,5.45,25.36,3.08,18,0.795000000000,0.738800000000,0.825000000000,0.750000000000,33,22.92,12,21,480
ORL5,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
ORL5,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,True,0.25,5,39,104,20,12,55,16,1,19.23,11.54,52.88,15.38,0.96,3,0.231500000000,0.220000000000,0.342500000000,0.235000000000,2,10.00,2,0,90
PWH,True,0.25,15,39,104,29,17,55,2,1,27.88,16.35,52.88,1.92,0.96,5,0.427500000000,0.407500000000,0.492500000000,0.407500000000,8,27.59,5,3,300
PWH,True,0.25,30,39,104,29,17,55,2,1,27.88,16.35,52.88,1.92,0.96,10,0.547500000000,0.580000000000,0.584450000000,0.580000000000,14,48.28,5,9,570
PWH,True,0.50,5,39,104,17,11,23,50,3,16.35,10.58,22.12,48.08,2.88,3,0.231500000000,0.220000000000,0.342500000000,0.235000000000,1,5.88,1,0,120
PWH,True,0.50,15,39,104,28,25,23,25,3,26.92,24.04,22.12,24.04,2.88,5,0.427500000000,0.407500000000,0.492500000000,0.407500000000,5,17.86,3,2,300
PWH,True,0.50,30,39,104,34,32,23,11,4,32.69,30.77,22.12,10.58,3.85,10,0.547500000000,0.580000000000,0.584450000000,0.580000000000,12,35.29,4,8,720
PWH,True,1.00,5,39,104,3,6,6,86,3,2.88,5.77,5.77,82.69,2.88,3,0.231500000000,0.220000000000,0.342500000000,0.235000000000,0,0.00,0,0,
PWH,True,1.00,15,39,104,14,20,6,59,5,13.46,19.23,5.77,56.73,4.81,5,0.427500000000,0.407500000000,0.492500000000,0.407500000000,1,7.14,0,1,360
PWH,True,1.00,30,39,104,23,24,6,45,6,22.12,23.08,5.77,43.27,5.77,10,0.547500000000,0.580000000000,0.584450000000,0.580000000000,4,17.39,1,3,570
PWH,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,0.50,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,0.50,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,0.50,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,1.00,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,1.00,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWH,False,1.00,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,True,0.25,5,34,90,14,8,66,2,0,15.56,8.89,73.33,2.22,0.00,1,0.417200000000,0.431000000000,0.562500000000,0.450000000000,3,21.43,3,0,120
PWL,True,0.25,15,34,90,16,8,66,0,0,17.78,8.89,73.33,0.00,0.00,3,0.912450000000,0.649950000000,0.932500000000,0.649950000000,9,56.25,6,3,240
PWL,True,0.25,30,34,90,16,8,66,0,0,17.78,8.89,73.33,0.00,0.00,5,1.125000000000,0.822500000000,1.125000000000,0.822500000000,9,56.25,6,3,240
PWL,True,0.50,5,34,90,18,14,38,19,1,20.00,15.56,42.22,21.11,1.11,1,0.417200000000,0.431000000000,0.562500000000,0.450000000000,1,5.56,1,0,120
PWL,True,0.50,15,34,90,29,20,38,2,1,32.22,22.22,42.22,2.22,1.11,3,0.912450000000,0.649950000000,0.932500000000,0.649950000000,7,24.14,4,3,180
PWL,True,0.50,30,34,90,30,21,38,0,1,33.33,23.33,42.22,0.00,1.11,5,1.125000000000,0.822500000000,1.125000000000,0.822500000000,13,43.33,5,8,480
PWL,True,1.00,5,34,90,9,10,6,64,1,10.00,11.11,6.67,71.11,1.11,1,0.417200000000,0.431000000000,0.562500000000,0.450000000000,0,0.00,0,0,
PWL,True,1.00,15,34,90,31,28,6,23,2,34.44,31.11,6.67,25.56,2.22,3,0.912450000000,0.649950000000,0.932500000000,0.649950000000,5,16.13,2,3,420
PWL,True,1.00,30,34,90,35,35,6,11,3,38.89,38.89,6.67,12.22,3.33,5,1.125000000000,0.822500000000,1.125000000000,0.822500000000,11,31.43,4,7,420
PWL,False,0.25,5,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,False,0.25,15,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
PWL,False,0.25,30,0,0,0,0,0,0,0,,,,,,0,,,,,0,,0,0,
